Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Blocks_Control3.thisRepN,Blocks_Control3.thisTrialN,Blocks_Control3.thisN,Blocks_Control3.thisIndex,trials_Control3.thisRepN,trials_Control3.thisTrialN,trials_Control3.thisN,trials_Control3.thisIndex,Blocks_TMTA2.thisRepN,Blocks_TMTA2.thisTrialN,Blocks_TMTA2.thisN,Blocks_TMTA2.thisIndex,trials_TMTA2.thisRepN,trials_TMTA2.thisTrialN,trials_TMTA2.thisN,trials_TMTA2.thisIndex,Blocks_Control4.thisRepN,Blocks_Control4.thisTrialN,Blocks_Control4.thisN,Blocks_Control4.thisIndex,trials_Control4.thisRepN,trials_Control4.thisTrialN,trials_Control4.thisN,trials_Control4.thisIndex,Blocks_TMTB2.thisRepN,Blocks_TMTB2.thisTrialN,Blocks_TMTB2.thisN,Blocks_TMTB2.thisIndex,trials_TMTB2.thisRepN,trials_TMTB2.thisTrialN,trials_TMTB2.thisN,trials_TMTB2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Info2.started,Info2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.7266308999969624,10.276992700004485,None,,,,,,,,,,,,,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.276992700004485,None,2,0,5.005334000001312,27.84386860000086,None,"['3', '2']",1,"[1.5814709000114817, 1.6376281999982893]",27.84386860000086,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C1,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.121364699996775,29.56882420000329,None,['1'],1,[0.05813740000303369],29.56882420000329,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C1,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.272436499988544,29.686169099994004,None,['3'],1,[0.08701849999488331],29.686169099994004,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C1,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,5.435383499992895,29.843903100001626,None,"['2', '1']",1,"[-0.018538900010753423, 0.07133439999597613]",29.843903100001626,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C1,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.5434204999910435,30.007582499994896,None,['3'],1,[0.03278080000018235],30.007582499994896,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C1,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,30.107669799996074,None,None,0,,30.107669799996074,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
A1,208:234,1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,A1,1,1,2,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,78.24180117000797,None,None,0,,78.24180117000797,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
A2,234:260,1,['1'],1,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMT_A,A2,26,None,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,81.50903954000678,None,None,0,,81.50903954000678,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
A3,260:286,1,['1'],1,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMT_A,A3,51,None,2,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,84.72060217001273,None,None,0,,84.72060217001273,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C3,52:78,1,['2'],2,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMT_Control,C3,51,2,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,68.49285090000194,90.93309190000582,None,"['3', '2']",1,"[2.023336800004472, 2.046023699993384]",90.93309190000582,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C3,52:78,2,['1'],1,TMTstop-control_1_3.png,TMTstop-control_1_3firstgreen.png,TMTstop-control_1_3firstred.png,TMT_Control,C3,52,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,68.5930062999978,93.05664199999592,None,['1'],1,[0.046295899999677204],93.05664199999592,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C3,52:78,3,['2'],2,TMTstop-control_1_3linestimulus0.png,TMTstop-control_1_3greenlinestimulus0.png,TMTstop-control_1_3redlinestimulus0.png,TMT_Control,C3,53,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,68.78500489999715,93.1570664000028,None,"['3', '2']",1,"[0.08256830000027549, 0.12771539999812376]",93.1570664000028,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C3,52:78,4,['1'],1,TMTstop-control_1_3linestimulus1.png,TMTstop-control_1_3greenlinestimulus1.png,TMTstop-control_1_3redlinestimulus1.png,TMT_Control,C3,54,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,68.86789369999315,93.34845930000301,None,['1'],1,[0.027436799995484762],93.34845930000301,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C3,52:78,5,['3'],3,TMTstop-control_1_3linestimulus2.png,TMTstop-control_1_3greenlinestimulus2.png,TMTstop-control_1_3redlinestimulus2.png,TMT_Control,C3,55,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,68.98503060000075,93.43180520000169,None,['3'],1,[0.05570889999216888],93.43180520000169,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C3,52:78,6,['1'],1,TMTstop-control_1_3linestimulus3.png,TMTstop-control_1_3greenlinestimulus3.png,TMTstop-control_1_3redlinestimulus3.png,TMT_Control,C3,56,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,69.14771199999086,93.54893750000338,None,"['2', '1']",1,"[-0.016368099997635, 0.07292829999641981]",93.54893750000338,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C3,52:78,7,['2'],2,TMTstop-control_1_3linestimulus4.png,TMTstop-control_1_3greenlinestimulus4.png,TMTstop-control_1_3redlinestimulus4.png,TMT_Control,C3,57,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,69.29766569999629,93.71153919999779,None,"['3', '2']",1,"[0.021173700006329454, 0.06794399999489542]",93.71153919999779,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
C3,52:78,8,['3'],3,TMTstop-control_1_3linestimulus4.png,TMTstop-control_1_3greenlinestimulus5.png,TMTstop-control_1_3redlinestimulus5.png,TMT_Control,C3,58,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,69.4975257999904,93.8615448000055,None,"['1', '3']",1,"[-0.0019283000001451, 0.12426450000202749]",93.8615448000055,None,,,,,,001,2022_Nov_17_2325,TMT_fmri,2021.2.3,59.96591537769307,
