Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,Blocks_TMTB1.thisRepN,Blocks_TMTB1.thisTrialN,Blocks_TMTB1.thisN,Blocks_TMTB1.thisIndex,trials_TMTB1.thisRepN,trials_TMTB1.thisTrialN,trials_TMTB1.thisN,trials_TMTB1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Info2.started,Info2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,5.525272799990489,10.259755499995663,None,,,,,,,,,,,,,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.259755499995663,None,2,0,8.187355299989576,32.595252700004494,None,"['1', '2']",1,"[4.791359199996805, 4.873115299997153]",32.595252700004494,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C1,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,8.47130949998973,37.52401870000176,None,"['3', '1']",1,"[0.02965039999980945, 0.18780559999868274]",37.52401870000176,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C1,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,8.571306899990304,37.80775770000764,None,"['2', '3']",1,"[-0.03707099999883212, 0.030282800013083033]",37.80775770000764,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C1,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.90767190000042,None,None,0,,37.90767190000042,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
A1,208:234,1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,A1,1,1,2,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,83.01917202999903,None,None,0,,83.01917202999903,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,1,['2'],2,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMT_Control,C3,51,2,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,0,59.62179499999911,86.29572280000139,None,"['1', '2']",1,"[2.51133409999602, 2.5653893999988213]",86.29572280000139,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,2,['1'],1,TMTstop-control_1_3.png,TMTstop-control_1_3firstgreen.png,TMTstop-control_1_3firstred.png,TMT_Control,C3,52,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,2,0,59.8458219999884,88.95883400000457,None,"['3', '1']",1,"[0.021955699994578026, 0.15940299999783747]",88.95883400000457,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,3,['2'],2,TMTstop-control_1_3linestimulus0.png,TMTstop-control_1_3greenlinestimulus0.png,TMTstop-control_1_3redlinestimulus0.png,TMT_Control,C3,53,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,1,1,59.89479669999855,89.18227489999845,None,['2'],1,[-0.0162348000012571],89.18227489999845,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,4,['1'],1,TMTstop-control_1_3linestimulus1.png,TMTstop-control_1_3greenlinestimulus1.png,TMTstop-control_1_3redlinestimulus1.png,TMT_Control,C3,54,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,2,0,60.10982149999472,89.23270490000141,None,"['3', '1']",1,"[0.014363499998580664, 0.14567169999645557]",89.23270490000141,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,5,['3'],3,TMTstop-control_1_3linestimulus2.png,TMTstop-control_1_3greenlinestimulus2.png,TMTstop-control_1_3redlinestimulus2.png,TMT_Control,C3,55,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,2,0,60.259806899994146,89.44705550000072,None,"['2', '3']",1,"[-0.010090099996887147, 0.06401119999645744]",89.44705550000072,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,6,['1'],1,TMTstop-control_1_3linestimulus3.png,TMTstop-control_1_3greenlinestimulus3.png,TMTstop-control_1_3redlinestimulus3.png,TMT_Control,C3,56,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,1,1,60.376335299995844,89.59727840000414,None,['1'],1,[0.052935599989723414],89.59727840000414,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,7,['2'],2,TMTstop-control_1_3linestimulus4.png,TMTstop-control_1_3greenlinestimulus4.png,TMTstop-control_1_3redlinestimulus4.png,TMT_Control,C3,57,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,1,1,60.42641499999445,89.71396530000493,None,['2'],1,[-0.00897409999743104],89.71396530000493,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,8,['3'],3,TMTstop-control_1_3linestimulus4.png,TMTstop-control_1_3greenlinestimulus5.png,TMTstop-control_1_3redlinestimulus5.png,TMT_Control,C3,58,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,1,1,60.499483799998416,89.77020749999792,None,['3'],1,[0.0071370999939972535],89.77020749999792,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,9,['1'],1,TMTstop-control_1_3linestimulus6.png,TMTstop-control_1_3greenlinestimulus6.png,TMTstop-control_1_3redlinestimulus6.png,TMT_Control,C3,59,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,1,1,60.64119309998932,89.84212489999481,None,['1'],1,[0.08332000000518747],89.84212489999481,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,10,['2'],2,TMTstop-control_1_3linestimulus7.png,TMTstop-control_1_3greenlinestimulus7.png,TMTstop-control_1_3redlinestimulus7.png,TMT_Control,C3,60,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,1,1,60.72707029999583,89.97930489999999,None,['2'],1,[0.007971499988343567],89.97930489999999,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,11,['1'],1,TMTstop-control_1_3linestimulus8.png,TMTstop-control_1_3greenlinestimulus8.png,TMTstop-control_1_3redlinestimulus8.png,TMT_Control,C3,61,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,2,0,60.9310633999994,90.06834729999537,None,"['3', '1']",1,"[-0.008015899991733022, 0.12959870000486262]",90.06834729999537,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,12,['2'],2,TMTstop-control_1_3linestimulus9.png,TMTstop-control_1_3greenlinestimulus9.png,TMTstop-control_1_3redlinestimulus9.png,TMT_Control,C3,62,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,1,1,60.981053299998166,90.26860340000712,None,['2'],1,[-0.0018646999960765243],90.26860340000712,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,13,['3'],3,TMTstop-control_1_3linestimulus10.png,TMTstop-control_1_3greenlinestimulus10.png,TMTstop-control_1_3redlinestimulus10.png,TMT_Control,C3,63,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,1,1,61.0480697999883,90.3187265000015,None,['3'],1,[0.017281199994613416],90.3187265000015,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
