Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.069596300003468,10.819207099993946,None,,,,,,,,,,,,,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,10.819207099993946,None,2,0,4.695823499991093,28.715122099994915,None,"['3', '2']",1,"[1.350883099992643, 1.3756192000000738]",28.715122099994915,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
C1,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,1,1,4.8467720999906305,30.154251899992232,None,['1'],1,[0.09189159999368712],30.154251899992232,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
C1,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,1,1,4.97185719999834,30.311959999991814,None,['3'],1,[0.06543560000136495],30.311959999991814,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
C1,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,2,0,5.125839500004076,30.4285036999936,None,"['2', '1']",1,"[-0.0008785000100033358, 0.10418719999142922]",30.4285036999936,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
C1,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,1,1,5.232846099999733,30.589810699995724,None,['3'],1,[0.04161190000013448],30.589810699995724,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
C1,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,2,0,5.382816400000593,30.689876599994022,None,"['2', '1']",1,"[-0.024912100008805282, 0.07200909999664873]",30.689876599994022,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
C1,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,C1,7,None,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,0,0,,30.83997339999769,None,None,0,,30.83997339999769,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
A1,208:234,1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,A1,1,1,2,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,1,55.74494659999618,79.14991290000034,None,['1'],1,[1.9996105000027455],79.14991290000034,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
A1,208:234,2,['3'],3,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,TMT_A,A1,2,None,2,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,1,1,55.81888409999374,81.21021109999856,None,['3'],1,[0.012439400001312606],81.21021109999856,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
A1,208:234,3,['1'],1,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,TMT_A,A1,3,None,2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,2,0,56.03685489999771,81.27683709999837,None,"['2', '1']",1,"[0.054140600012033246, 0.14110030001029372]",81.27683709999837,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
A1,208:234,4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,TMT_A,A1,4,None,2,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,1,1,56.15975150000304,81.49940030000289,None,['3'],1,[0.06869469999219291],81.49940030000289,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
A1,208:234,5,['1'],1,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,TMT_A,A1,5,None,2,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,2,0,56.34308809999493,81.61685869999928,None,"['2', '1']",1,"[0.005957400004263036, 0.09783720000996254]",81.61685869999928,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
A1,208:234,6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,TMT_A,A1,6,None,2,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,1,1,56.443050000001676,81.80027829999744,None,['3'],1,[0.04804059999878518],81.80027829999744,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
A1,208:234,7,['1'],1,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,TMT_A,A1,7,None,2,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,2,0,56.620651599994744,81.90041990000464,None,"['2', '1']",1,"[0.004337000005762093, 0.10918600000150036]",81.90041990000464,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
A1,208:234,8,['2'],2,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,TMT_A,A1,8,None,2,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,2,0,56.78750910000235,82.07818670000415,None,"['3', '2']",1,"[0.05748160000075586, 0.10313289999612607]",82.07818670000415,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
A1,208:234,9,['3'],3,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,TMT_A,A1,9,None,2,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,2,0,58.02949469999294,82.25213480000093,None,"['1', '3']",1,"[0.0342333000007784, 1.160438899998553]",82.25213480000093,None,,001,2022_Nov_18_0009,TMT_fmri,2021.2.3,59.94664748225349,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,
