Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,s,1.4165331000112928,16.417781700001797,None,,,,,,,,,,,,,,,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,1,['2'],2,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,16.417781700001797,None,31.36204550000548,None,2,0,8.057796099994448,38.69335149999824,None,"['3', '2']",1,"[0.6567667000053916, 0.6766541000106372]",38.69335149999824,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,2,['1'],1,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1firstgreen.png,Images/TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,1,1,8.223822600004496,39.46510919999855,None,['1'],1,[0.09835480000765529],39.46510919999855,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,3,['3'],3,Images/TMTstop-control_1_1linestimulus0.png,Images/TMTstop-control_1_1greenlinestimulus0.png,Images/TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,1,1,8.373868099995889,39.61527970001043,None,['3'],1,[0.0984597000060603],39.61527970001043,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,4,['1'],1,Images/TMTstop-control_1_1linestimulus1.png,Images/TMTstop-control_1_1greenlinestimulus1.png,Images/TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,2,0,8.595816300003207,39.7733031000098,None,"['2', '1']",1,"[-0.013115999987348914, 0.121550700001535]",39.7733031000098,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,5,['3'],3,Images/TMTstop-control_1_1linestimulus2.png,Images/TMTstop-control_1_1greenlinestimulus2.png,Images/TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,1,1,8.72887289999926,40.003250699999626,None,['3'],1,[0.035482899998896755],40.003250699999626,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,6,['1'],1,Images/TMTstop-control_1_1linestimulus3.png,Images/TMTstop-control_1_1greenlinestimulus3.png,Images/TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,2,0,8.878827599997749,40.11993290000828,None,"['2', '1']",1,"[-0.046239400006015785, 0.07678170000144746]",40.11993290000828,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,7,['2'],2,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus4.png,Images/TMTstop-control_1_1redlinestimulus4.png,TMT_Control,C1,7,None,1,0,0,0,0,0,6,6,6,,,,,,,,,2,0,9.062784399997327,40.27014770000824,None,"['3', '2']",1,"[0.0792420000070706, 0.11820739999529906]",40.27014770000824,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,8,['1'],1,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus5.png,Images/TMTstop-control_1_1redlinestimulus5.png,TMT_Control,C1,8,None,1,0,0,0,0,0,7,7,7,,,,,,,,,1,1,9.153889599998365,40.46062270000402,None,['1'],1,[0.02706429999670945],40.46062270000402,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,9,['3'],3,Images/TMTstop-control_1_1linestimulus6.png,Images/TMTstop-control_1_1greenlinestimulus6.png,Images/TMTstop-control_1_1redlinestimulus6.png,TMT_Control,C1,9,None,1,0,0,0,0,0,8,8,8,,,,,,,,,1,1,9.324417900003027,40.54889470001217,None,['3'],1,[0.11046039999928325],40.54889470001217,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,10,['2'],2,Images/TMTstop-control_1_1linestimulus7.png,Images/TMTstop-control_1_1greenlinestimulus7.png,Images/TMTstop-control_1_1redlinestimulus7.png,TMT_Control,C1,10,None,1,0,0,0,0,0,9,9,9,,,,,,,,,1,1,9.382410199992592,40.72354869999981,None,['2'],1,[-0.04124410000804346],40.72354869999981,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,11,['1'],1,Images/TMTstop-control_1_1linestimulus8.png,Images/TMTstop-control_1_1greenlinestimulus8.png,Images/TMTstop-control_1_1redlinestimulus8.png,TMT_Control,C1,11,None,1,0,0,0,0,0,10,10,10,,,,,,,,,1,1,9.499422799999593,40.773514200001955,None,['1'],1,[0.05813389999093488],40.773514200001955,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,12,['2'],2,Images/TMTstop-control_1_1linestimulus9.png,Images/TMTstop-control_1_1greenlinestimulus9.png,Images/TMTstop-control_1_1redlinestimulus9.png,TMT_Control,C1,12,None,1,0,0,0,0,0,11,11,11,,,,,,,,,2,0,9.683009800006403,40.89030980000098,None,"['3', '2']",1,"[0.07697449999977835, 0.10210550000192598]",40.89030980000098,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,13,['3'],3,Images/TMTstop-control_1_1linestimulus10.png,Images/TMTstop-control_1_1greenlinestimulus10.png,Images/TMTstop-control_1_1redlinestimulus10.png,TMT_Control,C1,13,None,1,0,0,0,0,0,12,12,12,,,,,,,,,5,0,10.239064199995482,41.07369550000294,None,"['1', '3', '2', '1', '3']",1,"[0.0420179999928223, 0.2119795000035083, 0.23130769999988843, 0.34812729999248404, 0.5068896000011591]",41.07369550000294,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
C1,0:26,14,['2'],2,Images/TMTstop-control_1_1linestimulus11.png,Images/TMTstop-control_1_1greenlinestimulus11.png,Images/TMTstop-control_1_1redlinestimulus11.png,TMT_Control,C1,14,None,1,0,0,0,0,0,13,13,13,,,,,,,,,1,1,10.288984099999652,41.62984390000929,None,['2'],1,[-0.01925620000110939],41.62984390000929,None,,001,2022_Nov_18_0108,TMT_fmri,2021.2.3,59.96832472704993,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,
