NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,None,None,0,0,0,0,,,,,7.880428699999811,None,7.880428699999811,None,9.087676300000112,None,2,1,4.293191899999783,9.087676300000112,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
A,3,TMT-control.jpg,None,None,0,1,1,1,,,,,,,,,13.422778799999833,None,3,1,1.1451618999999482,13.422778799999833,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
2,1,TMT-control_linestimulus0.png,None,None,0,2,2,2,,,,,,,,,14.623366599999827,None,1,1,1.314151000000038,14.623366599999827,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
B,2,TMT-control_linestimulus1.png,None,None,0,3,3,3,,,,,,,,,15.990658299999723,None,2,1,1.1437601999996332,15.990658299999723,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
3,3,TMT-control_linestimulus2.png,None,None,0,4,4,4,,,,,,,,,17.191236599999684,None,3,1,0.8119636999999784,17.191236599999684,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
C,2,TMT-control_linestimulus3.png,None,None,0,5,5,5,,,,,,,,,18.058344900000066,None,2,1,0.8352110000000721,18.058344900000066,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
4,1,TMT-control_linestimulus4.png,None,None,0,6,6,6,,,,,,,,,18.95858599999974,None,1,1,0.8746695999998337,18.95858599999974,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
D,3,TMT-control_linestimulus5.png,None,None,0,7,7,7,,,,,,,,,19.892515000000003,None,3,1,1.0725349999997889,19.892515000000003,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
5,1,TMT-control_linestimulus6.png,None,None,0,8,8,8,,,,,,,,,21.02633859999969,None,1,1,0.7820431000000099,21.02633859999969,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
E,2,TMT-control_linestimulus7.png,None,None,0,9,9,9,,,,,,,,,21.860067099999924,None,2,1,1.1070623000000523,21.860067099999924,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
6,1,TMT-control_linestimulus8.png,None,None,0,10,10,10,,,,,,,,,23.02727509999977,None,1,1,0.8647525000001224,23.02727509999977,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
F,2,TMT-control_linestimulus9.png,None,None,0,11,11,11,,,,,,,,,23.94440369999984,None,2,1,0.746554500000002,23.94440369999984,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
None,None,TMT-control_linestimulus10.png,None,None,0,12,12,12,,,,,,,,,24.744751299999734,None,3,0,1.1277886000002582,24.744751299999734,None,,,,,,,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
,,,,,,,,,,,,,,,,,,,,,,,,25.89521250000007,None,escape,2.966638999999759,25.89521250000007,None,dxh,001,2021_Oct_21_1621,TMTAB,2021.2.3,59.94161686508912,
,,,,,,,,,,,,,28.879977300000064,None,28.879977300000064,None,,,,,,,,,,,,,,,,,,,,
