NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,6.691987699945457,None,6.691987699945457,None,7.454362799995579,None,['1'],0,[0.5296339999185875],7.454362799995579,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
A,1,TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,0,1,1,1,,,,,8.071651699952781,None,['1'],0,[0.42708260007202625],8.071651699952781,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
2,3,TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,8.586476999917068,None,['1'],0,[0.3189614999573678],8.586476999917068,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
B,2,TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,8.975057399948128,None,['1'],0,[0.26039790001232177],8.975057399948128,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
3,1,TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,9.307906199945137,None,['1'],0,[0.2508204000769183],9.307906199945137,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
C,2,TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,9.641171399969608,None,['1'],0,[0.21021990000735968],9.641171399969608,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
4,1,TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,9.939986199955456,None,['1'],0,[0.1868599000154063],9.939986199955456,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
D,2,TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,10.211318099987693,None,['1'],0,[0.17319719993975013],10.211318099987693,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
5,3,TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,10.468174299923703,None,['1'],0,[0.16475050000008196],10.468174299923703,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
E,1,TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,10.710966199985705,None,['1'],0,[0.16319500003010035],10.710966199985705,None,,001,2021_Nov_03_1227,TMTAB,2021.2.3,144.7242928661608,
