NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,5.695201700000325,None,5.695201700000325,None,6.242056899995077,None,9.292526100005489,None,1,0.7955549000034807,9.292526100005489,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.167823600000702,None,2,0.06375549999938812,10.167823600000702,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,10.306690900004469,None,3,0.005037900002207607,10.306690900004469,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,10.396933199997875,None,1,0.0898250000027474,10.396933199997875,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,10.563546299992595,None,2,0.01424280001083389,10.563546299992595,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,10.646762899996247,None,3,0.013321500009624287,10.646762899996247,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,10.730303999996977,None,1,0.08039620000636205,10.730303999996977,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,10.883332199999131,None,3,0.11954230000264943,10.883332199999131,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,11.11208859999897,None,2,0.14293749998614658,11.11208859999897,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,11.334366399998544,None,3,0.838201200007461,11.334366399998544,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,12.257985499993083,None,1,0.16084799999953248,12.257985499993083,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,12.500961900004768,None,2,0.682548599987058,12.500961900004768,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,13.264817400005995,None,None,,13.264817400005995,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,14.3060656799993,None,None,14.3060656799993,None,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,14.376072600003681,None,1,1.542448099993635,14.376072600003681,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,15.994370700005675,None,2,0.025422999999136664,15.994370700005675,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,16.0916220999934,None,3,0.047427000012248755,16.0916220999934,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,16.20925349999743,None,1,0.07011700001021381,16.20925349999743,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,16.35554659999616,None,2,0.02413810000871308,16.35554659999616,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,16.452435400002287,None,3,0.011721299990313128,16.452435400002287,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,16.53554450000229,None,1,0.06812280000303872,16.53554450000229,None,,,,,,,001,2021_Nov_15_1809,TMTAB,2021.2.3,144.7163342801491,
