NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,5.86737059999723,None,5.86737059999723,None,6.455539399990812,None,9.507074199995259,None,1,0.524195600009989,9.507074199995259,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.117118699999992,None,2,0.028304199993726797,10.117118699999992,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,10.214747599995462,None,3,0.06918610000866465,10.214747599995462,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,10.353498599986779,None,1,0.07937060001131613,10.353498599986779,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,10.513418599992292,None,2,0.0347100000071805,10.513418599992292,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,10.624658099986846,None,3,0.029301199989276938,10.624658099986846,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,10.73559289998957,None,1,0.041584100006730296,10.73559289998957,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,10.84659180000017,None,3,0.12798879999900237,10.84659180000017,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,11.096166399991489,None,2,0.45794609999575187,11.096166399991489,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,11.631701799997245,None,3,0.0873866000038106,11.631701799997245,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
