NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,6.4323559000004025,None,6.4323559000004025,None,7.134447800000089,None,2,1,1.0061438999991879,7.134447800000089,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,8.184423300000162,None,3,1,1.5502775000004476,8.184423300000162,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,9.785292100000333,None,3,0,0.8976146000004519,9.785292100000333,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,10.735712200000307,None,2,1,0.6163997000003292,10.735712200000307,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,11.402671800000462,None,3,1,0.27549890000045707,11.402671800000462,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,11.736206999999922,None,3,0,0.34422670000003563,11.736206999999922,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,12.136338100000103,None,3,0,0.3775100000002567,12.136338100000103,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,12.56994290000057,None,3,1,0.30665810000027705,12.56994290000057,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,12.936613500000021,None,3,0,0.2951422999994975,12.936613500000021,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,13.287008799999967,None,3,0,0.25980470000013156,13.287008799999967,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,13.60371269999996,None,3,0,0.32266689999960363,13.60371269999996,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,13.987253799999962,None,3,0,0.3071057999995901,13.987253799999962,None,,,,,,,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
,,,,,,,,,,,,,,,,,,,,,,,,14.320616300000438,None,escape,0.46303030000035506,14.320616300000438,None,,001,2021_Oct_21_1757,TMTAB,2021.2.3,59.97925917211746,
,,,,,,,,,,,,,14.804307500000505,None,14.804307500000505,None,,,,,,,,,,,,,,,,,,,,
