NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,NumberLetter,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,0,0,0,0,,,,,,10.30391360000067,None,10.30391360000067,None,11.029037100001005,None,1,1,1.7753635999979451,11.029037100001005,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,0,1,1,1,,,,,,,,,,12.928742299991427,None,2,1,1.5847272999963025,12.928742299991427,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,,14.615961399991647,None,2,0,4.775994099996751,14.615961399991647,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,,19.491028599994024,None,3,1,5.567785200008075,19.491028599994024,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,,25.157233399993856,None,2,1,2.2972950999974273,25.157233399993856,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,,27.546919600004912,None,2,0,6.446845800004667,27.546919600004912,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,,34.635993599993526,None,3,0,3.015549600007944,34.635993599993526,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,,37.75464959999954,None,3,1,0.9559656000055838,37.75464959999954,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,,38.81862340000225,None,3,0,0.6106086000072537,38.81862340000225,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,,39.52557349999552,None,3,0,0.5781221000070218,39.52557349999552,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,,40.20776489999844,None,3,0,0.6273121999984141,40.20776489999844,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,,40.93543569999747,None,3,1,0.8505142000067281,40.93543569999747,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,,41.89329779999389,None,3,0,0.8352764000010211,41.89329779999389,None,,,,001,2021_Oct_28_1552,TMTAB,2021.2.3,103.04009495307017,
,,,,,,,,,,,,,,,,,,,,,,,,,,42.74509440000111,None,,,,,,,
