NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,0,0,0,0,11.04883770000015,None,11.04883770000015,None,11.82316629998968,None,1,1,1.1018120000080671,11.82316629998968,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,0,1,1,1,,,,,13.069948550000845,None,None,0,,13.069948550000845,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,13.156997500002035,None,1,1,1.6070622999977786,13.156997500002035,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,14.848661579994952,None,None,0,,14.848661579994952,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,14.924161000002641,None,2,1,2.3711115999903996,14.924161000002641,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,17.374699679992045,None,None,0,,17.374699679992045,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,17.442076499995892,None,2,1,0.47208710000268184,17.442076499995892,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,18.04634217999701,None,None,0,,18.04634217999701,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,18.125808900003904,None,2,1,0.8873600000079023,18.125808900003904,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,19.11033755000244,None,None,0,,19.11033755000244,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,19.176105599995935,None,2,1,0.8073159000050509,19.176105599995935,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,20.05934047999035,None,None,0,,20.05934047999035,None,,001,2021_Oct_28_1653,TMTAB,2021.2.3,None,
