NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,,,0,0,0,0,,,,,,,,,,,,,7.8374691999924835,None,7.8374691999924835,None,8.554125499998918,None,['1'],0,[0.6752197000023443],8.554125499998918,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,,,0,1,1,1,,,,,,,,,,,,,,,,,9.309937499987427,None,['2'],0,[1.010748100001365],9.309937499987427,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,0,2,2,2,,,,,,,,,,,,,,,,,10.401435999985551,None,['2'],0,[0.42743520002113655],10.401435999985551,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,0,3,3,3,,,,,,,,,,,,,,,,,10.910093899990898,None,['2'],0,[0.3786756999907084],10.910093899990898,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,,0,4,4,4,,,,,,,,,,,,,,,,,11.387697500002105,None,['2'],0,[0.2925325999967754],11.387697500002105,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,,0,5,5,5,,,,,,,,,,,,,,,,,11.782656900002621,None,['2'],0,[0.24083900000550784],11.782656900002621,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,,0,6,6,6,,,,,,,,,,,,,,,,,12.123441300005652,None,['2'],0,[0.20317140000406653],12.123441300005652,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,,0,7,7,7,,,,,,,,,,,,,,,,,12.42169489999651,None,['2'],0,[0.18254529999103397],12.42169489999651,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,,0,8,8,8,,,,,,,,,,,,,,,,,12.698354699998163,None,['2'],0,[0.17927829999825917],12.698354699998163,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,,0,9,9,9,,,,,,,,,,,,,,,,,12.970185999991372,None,['2'],0,[0.1816087999904994],12.970185999991372,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
