NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim_practice.started_mean,Stim_practice.started_raw,Stim_practice.started_std,Stim_practice.stopped_raw,key_resp_practice.keys_raw,key_resp_practice.rt_mean,key_resp_practice.rt_raw,key_resp_practice.rt_std,key_resp_practice.started_mean,key_resp_practice.started_raw,key_resp_practice.started_std,key_resp_practice.stopped_raw,order
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1.0,14.393478393554688,14.393478393554688,0.0,,'1',3.8093409538269043,3.8093409538269043,0.0,14.393478393554688,14.393478393554688,0.0,,0.0
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1.0,18.27616310119629,18.27616310119629,0.0,,'2',0.22661960124969482,0.22661960124969482,0.0,18.27616310119629,18.27616310119629,0.0,,1.0
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1.0,18.574073791503906,18.574073791503906,0.0,,'3',0.06093499809503555,0.06093499809503555,0.0,18.574073791503906,18.574073791503906,0.0,,2.0
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1.0,18.71283721923828,18.71283721923828,0.0,,'1',0.1131168007850647,0.1131168007850647,0.0,18.71283721923828,18.71283721923828,0.0,,3.0
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1.0,18.911251068115234,18.911251068115234,0.0,,'2',0.2704268991947174,0.2704268991947174,0.0,18.911251068115234,18.911251068115234,0.0,,4.0
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1.0,19.28230857849121,19.28230857849121,0.0,,'3',0.012449400499463081,0.012449400499463081,0.0,19.28230857849121,19.28230857849121,0.0,,5.0
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1.0,19.36941146850586,19.36941146850586,0.0,,'1',0.07223019748926163,0.07223019748926163,0.0,19.36941146850586,19.36941146850586,0.0,,6.0
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1.0,19.52111053466797,19.52111053466797,0.0,,'3',0.6489269733428955,0.6489269733428955,0.0,19.52111053466797,19.52111053466797,0.0,,7.0
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1.0,20.26183319091797,20.26183319091797,0.0,,'2',0.1360711008310318,0.1360711008310318,0.0,20.26183319091797,20.26183319091797,0.0,,8.0
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1.0,20.478267669677734,20.478267669677734,0.0,,'3',0.04559930041432381,0.04559930041432381,0.0,20.478267669677734,20.478267669677734,0.0,,9.0
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1.0,20.601905822753906,20.601905822753906,0.0,,'1',0.06634090095758438,0.06634090095758438,0.0,20.601905822753906,20.601905822753906,0.0,,10.0
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1.0,20.747650146484375,20.747650146484375,0.0,,'2',0.2970750033855438,0.2970750033855438,0.0,20.747650146484375,20.747650146484375,0.0,,11.0
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1.0,21.130186080932617,21.130186080932617,0.0,,'3',0.3829723000526428,0.3829723000526428,0.0,21.130186080932617,21.130186080932617,0.0,,12.0

extraInfo
participant,
session,001
date,2022_Feb_02_1213
expName,TMTAstop-A
psychopyVersion,2021.2.3
frameRate,141.39611724293184
