Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,1,['2'],2,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,1,1,,,,,,,,,0,0,0,0,0,0,0,0,1,1,20.408400300191715,None,['2'],1,[0.4050658999476582],20.408400300191715,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
TMTstop-A_1_1.xlsx,0:26,2,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,1,2,,,,,,,,,0,0,0,0,0,1,1,1,2,1,20.894434000132605,None,"['3', '1']",1,"[0.16504519991576672, 0.17012430005706847]",20.894434000132605,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
TMTstop-A_1_1.xlsx,0:26,3,['2'],2,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,1,3,,,,,,,,,0,0,0,0,0,2,2,2,1,1,21.137424500193447,None,['2'],1,[0.0878700998146087],21.137424500193447,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
TMTstop-A_1_1.xlsx,0:26,4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,1,4,,,,,,,,,0,0,0,0,0,3,3,3,1,1,21.300968500087038,None,['3'],1,[0.04309950000606477],21.300968500087038,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
TMTstop-A_1_1.xlsx,0:26,5,['2'],2,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,1,5,,,,,,,,,0,0,0,0,0,4,4,4,2,1,21.421720900107175,None,"['1', '2']",1,"[0.07534940005280077, 0.14262669999152422]",21.421720900107175,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
TMTstop-A_1_1.xlsx,0:26,6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,1,6,,,,,,,,,0,0,0,0,0,5,5,5,1,1,21.65805700002238,None,['3'],1,[0.021236100001260638],21.65805700002238,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
TMTstop-A_1_1.xlsx,0:26,7,['2'],2,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,1,7,,,,,,,,,0,0,0,0,0,6,6,6,2,1,21.76334060006775,None,"['1', '2']",1,"[0.05452420003712177, 0.15357149997726083]",21.76334060006775,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
TMTstop-A_1_1.xlsx,0:26,8,['1'],1,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,1,8,,,,,,,,,0,0,0,0,0,7,7,7,2,1,22.020463300170377,None,"['3', '1']",1,"[-0.0016002999618649483, 0.14750860002823174]",22.020463300170377,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
TMTstop-A_1_1.xlsx,0:26,9,['2'],2,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,1,9,,,,,,,,,0,0,0,0,0,8,8,8,1,1,22.269669300178066,None,['2'],1,[0.013820899883285165],22.269669300178066,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
TMTstop-A_1_1.xlsx,0:26,10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,1,10,,,,,,,,,0,0,0,0,0,9,9,9,2,1,22.37031100015156,None,"['3', '1']",1,"[-0.006395499920472503, 0.14173809997737408]",22.37031100015156,None,,001,2022_Feb_02_1448,TMTAstop-A,2021.2.3,144.95610722651287,
