Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,1,1,0,0,0,0,0,0,0,0,3,0,10.506667700130492,None,"['3', '1', '2']",1,"[0.4105242998339236, 0.6472569999750704, 0.721326099941507]",10.506667700130492,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,1,2,0,0,0,0,0,1,1,1,2,0,11.315310300095007,None,"['3', '1']",1,"[0.07402729988098145, 0.2181019999552518]",11.315310300095007,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,1,3,0,0,0,0,0,2,2,2,1,1,11.633837100118399,None,['2'],1,[-0.024744699941948056],11.633837100118399,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,1,4,0,0,0,0,0,3,3,3,1,1,11.71734520001337,None,['3'],1,[-0.0015137000009417534],11.71734520001337,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,1,5,0,0,0,0,0,4,4,4,2,0,11.7916726002004,None,"['1', '2']",1,"[0.07811790006235242, 0.16914579994045198]",11.7916726002004,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,1,6,0,0,0,0,0,5,5,5,2,0,12.078715300187469,None,"['3', '1']",1,"[-0.021658000070601702, 0.12192609999328852]",12.078715300187469,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,1,7,0,0,0,0,0,6,6,6,2,0,12.270905300043523,None,"['2', '3']",1,"[0.009954100009053946, 0.10362330009229481]",12.270905300043523,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,1,8,0,0,0,0,0,7,7,7,2,0,12.47972060018219,None,"['1', '2']",1,"[0.047213299898430705, 0.12790640001185238]",12.47972060018219,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,1,9,0,0,0,0,0,8,8,8,1,1,12.690552500076592,None,['3'],1,[0.03978840005584061],12.690552500076592,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,1,10,0,0,0,0,0,9,9,9,2,0,12.806243299972266,None,"['1', '2']",1,"[0.08417470008134842, 0.1330090002156794]",12.806243299972266,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,11,['3'],3,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,1,11,0,0,0,0,0,10,10,10,1,1,13.021371399983764,None,['3'],1,[0.0203509998973459],13.021371399983764,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,12,['1'],1,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,1,12,0,0,0,0,0,11,11,11,1,1,13.118038200074807,None,['1'],1,[0.061192499939352274],13.118038200074807,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,13,0,0,0,0,0,12,12,12,2,0,13.250517100095749,None,"['2', '3']",1,"[-0.038104199804365635, 0.06694700010120869]",13.250517100095749,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
