Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2,0,10.748069199966267,None,"['1', '2']",1,"[0.3734937000554055, 0.47729010018520057]",10.748069199966267,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,2,0,11.317654700018466,None,"['3', '1']",1,"[-0.037171800155192614, 0.10383159993216395]",11.317654700018466,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,1,1,11.512886899989098,None,['2'],1,[-0.029826899990439415],11.512886899989098,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,1,1,11.582002999959514,None,['3'],1,[-0.023281400091946125],11.582002999959514,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,2,0,11.659646900137886,None,"['1', '2']",1,"[0.02709529991261661, 0.06175989983603358]",11.659646900137886,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,2,0,11.818486799951643,None,"['3', '1']",1,"[-0.0003185998648405075, 0.1313050000462681]",11.818486799951643,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,2,0,12.061203900026157,None,"['2', '3']",1,"[-0.019550699973478913, 0.03042319999076426]",12.061203900026157,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,2,0,12.172527200076729,None,"['1', '2']",1,"[0.06146860006265342, 0.08735790010541677]",12.172527200076729,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,1,1,12.349038599990308,None,['3'],1,[0.006804100004956126],12.349038599990308,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,1,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,2,0,12.437183100031689,None,"['1', '2']",1,"[0.06255539995618165, 0.10432050004601479]",12.437183100031689,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
