NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,7.203757999930531,None,7.876555599970743,None,2,0.3786096000112593,7.876555599970743,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8.274071499938145,None,11.322145899990574,None,1,0.5772657999768853,11.322145899990574,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,11.977510999888182,None,2,0.12935080006718636,11.977510999888182,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,12.19898879993707,None,3,0.014454999938607216,12.19898879993707,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,12.295116499997675,None,1,0.1520818998105824,12.295116499997675,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,12.52412959979847,None,2,0.020054299850016832,12.52412959979847,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,12.621604299871251,None,3,0.05827050004154444,12.621604299871251,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,12.760153699899092,None,1,0.0891766999848187,12.760153699899092,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,12.920035099843517,None,3,0.2318059999961406,12.920035099843517,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,13.232650500023738,None,2,0.2668757000938058,13.232650500023738,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
