NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim_practice.started_mean,Stim_practice.started_raw,Stim_practice.started_std,Stim_practice.stopped_raw,key_resp_practice.keys_raw,key_resp_practice.rt_mean,key_resp_practice.rt_raw,key_resp_practice.rt_std,key_resp_practice.started_mean,key_resp_practice.started_raw,key_resp_practice.started_std,key_resp_practice.stopped_raw,order
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1.0,10.417798042297363,10.417798042297363,0.0,,'1',0.3484332859516144,0.3484332859516144,0.0,10.417798042297363,10.417798042297363,0.0,,0.0
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1.0,10.848631858825684,10.848631858825684,0.0,,'2',0.018338900059461594,0.018338900059461594,0.0,10.848631858825684,10.848631858825684,0.0,,1.0
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1.0,10.94651985168457,10.94651985168457,0.0,,'3',0.021921200677752495,0.021921200677752495,0.0,10.94651985168457,10.94651985168457,0.0,,2.0
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1.0,11.04347038269043,11.04347038269043,0.0,,'1',0.053737200796604156,0.053737200796604156,0.0,11.04347038269043,11.04347038269043,0.0,,3.0
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1.0,11.168944358825684,11.168944358825684,0.0,,'2',0.2550187110900879,0.2550187110900879,0.0,11.168944358825684,11.168944358825684,0.0,,4.0
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1.0,11.523351669311523,11.523351669311523,0.0,,'3',0.28210461139678955,0.28210461139678955,0.0,11.523351669311523,11.523351669311523,0.0,,5.0
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1.0,11.911521911621094,11.911521911621094,0.0,,'1',0.02937610074877739,0.02937610074877739,0.0,11.911521911621094,11.911521911621094,0.0,,6.0
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1.0,12.022475242614746,12.022475242614746,0.0,,'3',0.06624229997396469,0.06624229997396469,0.0,12.022475242614746,12.022475242614746,0.0,,7.0
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1.0,12.161458969116211,12.161458969116211,0.0,,'2',0.13193930685520172,0.13193930685520172,0.0,12.161458969116211,12.161458969116211,0.0,,8.0
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1.0,12.390618324279785,12.390618324279785,0.0,,'3',0.29744958877563477,0.29744958877563477,0.0,12.390618324279785,12.390618324279785,0.0,,9.0
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1.0,12.793229103088379,12.793229103088379,0.0,,'1',0.009349199943244457,0.009349199943244457,0.0,12.793229103088379,12.793229103088379,0.0,,10.0
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1.0,12.876599311828613,12.876599311828613,0.0,,'2',0.030798599123954773,0.030798599123954773,0.0,12.876599311828613,12.876599311828613,0.0,,11.0
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1.0,12.988513946533203,12.988513946533203,0.0,,'1',0.42142340540885925,0.42142340540885925,0.0,12.988513946533203,12.988513946533203,0.0,,12.0

extraInfo
participant,
session,001
date,2022_Jan_12_1710
expName,TMTAstop-A
psychopyVersion,2021.2.3
frameRate,143.83191238712567
