NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,Block_file,Condition_rows,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,3,0.30517990002408624,7.186347000068054,None,,,,,,,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,10.62183019996155,None,1,0.49042499996721745,10.62183019996155,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,11.20625300006941,None,2,0.29547270003240556,11.20625300006941,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,11.622807100065984,None,3,0.24314180004876107,11.622807100065984,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,11.989637900027446,None,1,0.23504280007909983,11.989637900027446,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,12.323071400052868,None,2,0.24284029996488243,12.323071400052868,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,12.6734887000639,None,3,0.286859399988316,12.6734887000639,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,13.073613399988972,None,1,0.29054349998477846,13.073613399988972,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,13.473748399992473,None,3,0.07113199995364994,13.473748399992473,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,13.640478900051676,None,2,0.12562970002181828,13.640478900051676,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,13.873963800026104,None,3,0.30236049997620285,13.873963800026104,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,14.29089040006511,None,1,0.013230100041255355,14.29089040006511,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,14.390855100005865,None,2,0.27305950003210455,14.390855100005865,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,14.758399000042118,None,1,0.19453810004051775,14.758399000042118,None,,,,,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6000578000675887,15.871409700019285,None,,001,2022_Jan_24_1156,TMTAstop-A,2021.2.3,59.87636724168726,
