NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,Keypress_count,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0.36002859997097403,7.85965760005638,None,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11.344714500010014,None,1,0.48368579999078065,11.344714500010014,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,11.912294100038707,None,2,0.04387429996859282,11.912294100038707,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,12.04572559997905,None,3,0.006993599934503436,12.04572559997905,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,12.145806199987419,None,1,0.05614590004552156,12.145806199987419,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,12.296232799999416,None,2,0.0023731000255793333,12.296232799999416,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,12.379261999973096,None,3,0.2851988999173045,12.379261999973096,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,12.779271499952301,None,1,0.014558200025931,12.779271499952301,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,12.887777899974026,None,3,0.08415619994048029,12.887777899974026,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,13.06273839995265,None,2,0.08284219994675368,13.06273839995265,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,13.262894500046968,None,3,0.25850430002901703,13.262894500046968,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,13.646425300044939,None,1,0.2803253000602126,13.646425300044939,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,14.013191199977882,None,2,0.281769199995324,14.013191199977882,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,14.380247700028121,None,2,0.19882089993916452,14.380247700028121,None,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,0.5668756000231951,15.510785400052555,None,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,4,19.215083200018853,None,"['1', '2']",1,"[0.4534827000461519, 0.5803141000214964]",19.215083200018853,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,2,10,19.915961700025946,None,"['3', '1']",1,"[-0.03309729997999966, 0.21455160004552454]",19.915961700025946,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,1,11,20.249410800053738,None,['2'],1,[-0.04234919999726117],20.249410800053738,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,1,12,20.33283249998931,None,['3'],1,[0.0019551999866962433],20.33283249998931,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,2,15,20.432875400059856,None,"['1', '2']",1,"[0.04876719997264445, 0.10657409997656941]",20.432875400059856,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,1,16,20.66620310000144,None,['3'],1,[-0.03846919990610331],20.66620310000144,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,3,26,20.749698500032537,None,"['1', '1', '2']",1,"[0.025505000026896596, 0.3896102999569848, 0.46416400000452995]",20.749698500032537,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
