Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,s,1.2791776000522077,12.692928600125015,None,,,,,,,,,,,,,,,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,1,['2'],2,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,12.692928600125015,None,27.502854300197214,None,2,0,7.895279800053686,34.85545130027458,None,"['1', '2']",1,"[0.4045684998854995, 0.48943360010161996]",34.85545130027458,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,2,['1'],1,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1firstgreen.png,Images/TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,2,0,8.09533549984917,35.42605279991403,None,"['3', '1']",1,"[-0.019856599625200033, 0.1486512003466487]",35.42605279991403,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,3,['3'],3,Images/TMTstop-control_1_1linestimulus0.png,Images/TMTstop-control_1_1greenlinestimulus0.png,Images/TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,2,0,8.245285399723798,35.62679520016536,None,"['2', '3']",1,"[-0.004629500210285187, 0.055135299917310476]",35.62679520016536,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,4,['1'],1,Images/TMTstop-control_1_1linestimulus1.png,Images/TMTstop-control_1_1greenlinestimulus1.png,Images/TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,1,1,8.345325199887156,35.79351670015603,None,['1'],1,[0.028427799697965384],35.79351670015603,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,5,['3'],3,Images/TMTstop-control_1_1linestimulus2.png,Images/TMTstop-control_1_1greenlinestimulus2.png,Images/TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,2,0,8.45831219991669,35.88408000022173,None,"['2', '3']",1,"[-0.0015338999219238758, 0.05162569973617792]",35.88408000022173,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,6,['1'],1,Images/TMTstop-control_1_1linestimulus3.png,Images/TMTstop-control_1_1greenlinestimulus3.png,Images/TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,1,1,8.609288599807769,36.00714310025796,None,['1'],1,[0.06964159989729524],36.00714310025796,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,7,['2'],2,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus4.png,Images/TMTstop-control_1_1redlinestimulus4.png,TMT_Control,C1,7,None,1,0,0,0,0,0,6,6,6,,,,,,,,,1,1,8.659326499793679,36.14024859992787,None,['2'],1,[-0.00016160029917955399],36.14024859992787,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,8,['1'],1,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus5.png,Images/TMTstop-control_1_1redlinestimulus5.png,TMT_Control,C1,8,None,1,0,0,0,0,0,7,7,7,,,,,,,,,2,0,8.873309900052845,36.19749030005187,None,"['3', '1']",1,"[-0.008437400218099356, 0.15521080000326037]",36.19749030005187,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,9,['3'],3,Images/TMTstop-control_1_1linestimulus6.png,Images/TMTstop-control_1_1greenlinestimulus6.png,Images/TMTstop-control_1_1redlinestimulus6.png,TMT_Control,C1,9,None,1,0,0,0,0,0,8,8,8,,,,,,,,,2,0,9.074377399869263,36.40491490019485,None,"['2', '3']",1,"[0.02612459985539317, 0.12738960003480315]",36.40491490019485,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
