Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,1,22.025733999995282,None,['2'],1,[1.2053669000015361],22.025733999995282,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,1,1,23.31780720000097,None,['1'],1,[0.8597355000092648],23.31780720000097,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,2,0,24.262597299995832,None,"['3', '2']",1,"[0.5196501000027638, 0.8603790000051958]",24.262597299995832,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,1,1,25.24120160000166,None,['3'],1,[0.3302497999975458],25.24120160000166,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,2,0,25.65087090000452,None,"['1', '2']",1,"[0.08437810000032187, 0.28031600000394974]",25.65087090000452,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,2,0,26.026422599999933,None,"['3', '1']",1,"[-0.04683089999889489, 0.17909430000872817]",26.026422599999933,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,2,0,26.310700400004862,None,"['2', '3']",1,"[0.013249600000563078, 0.10735690000001341]",26.310700400004862,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,2,0,26.519559199994546,None,"['1', '2']",1,"[0.06806200000573881, 0.13660240000172053]",26.519559199994546,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,1,1,26.741546699995524,None,['3'],1,[0.0005835000047227368],26.741546699995524,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,2,0,26.810660499992082,None,"['1', '2']",1,"[0.06582510001317132, 0.17807360000733752]",26.810660499992082,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
