Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,s,3.235613299999386,13.001928099998622,None,,,,,,,,,,,,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,1,['3'],3,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMT_B,1,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,13.001928099998622,None,3,0,36.50992489999044,None,"['2', '2', '3']",1,"[-19.647000400000252, -16.628814700001385, -13.76388759999827]",36.50992489999044,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,A,['1'],1,TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,TMT_B,1,2,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,3,0,36.64505319998716,None,"['3', '3', '1']",1,"[6.468497599998955, 10.309610299998894, 11.346144300012384]",36.64505319998716,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,2,['3'],3,TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,TMT_B,1,3,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,1,1,48.08347689999209,None,['3'],1,[2.7695345999964047],48.08347689999209,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,B,['2'],2,TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,TMT_B,1,4,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,1,1,51.04844889999367,None,['2'],1,[1.815270999999484],51.04844889999367,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,3,['1'],1,TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,TMT_B,1,5,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,1,1,52.975295299998834,None,['1'],1,[2.0472330000047805],52.975295299998834,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,C,['3'],3,TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,TMT_B,1,6,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,1,1,55.18705809999665,None,['3'],1,[1.7270420999993803],55.18705809999665,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,4,['2'],2,TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,TMT_B,1,7,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,4,0,57.000048699992476,None,"['3', '3', '1', '2']",1,"[3.425176399992779, 6.960720999995829, 7.601071699988097, 8.261307699998724]",57.000048699992476,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,D,['1'],1,TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,TMT_B,1,8,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,1,1,65.4030778999877,None,['1'],1,[9.631194100002176],65.4030778999877,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,5,['3'],3,TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,TMT_B,1,9,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,1,1,75.18419069999072,None,['3'],1,[2.891735199998948],75.18419069999072,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
