Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.0523335999896517,10.899711200007005,None,,,,,,,,,,,,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,10.899711200007005,None,1,1,12.140767400007462,None,['2'],1,[1.799985599995125],12.140767400007462,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,15,0,14.040732100009336,None,"['2', '2', '3', '2', '3', '2', '3', '2', '2', '3', '2', '3', '2', '3', '1']",1,"[0.5563257000030717, 1.1815320000023348, 1.3651203000044916, 1.6175527000013972, 1.718308800001978, 2.4917425000021467, 2.667867500000284, 2.720818400004646, 3.1628898000053596, 3.259211399999913, 3.6254696999967564, 3.683047099999385, 4.072658999997657, 4.1895702000038, 5.273318499996094]",14.040732100009336,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,2,0,19.491684500011615,None,"['2', '3']",1,"[0.1980819999880623, 0.9960927999927662]",19.491684500011615,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,1,1,20.59320750000188,None,['1'],1,[0.5990265000000363],20.59320750000188,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,1,1,21.379161500008195,None,['3'],1,[0.5827576000010595],21.379161500008195,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,1,1,22.118574500011164,None,['1'],1,[0.32995500000834],22.118574500011164,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,1,1,22.63471730001038,None,['2'],1,[0.2237930000119377],22.63471730001038,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,1,1,23.02439730000333,None,['1'],1,[0.38088929999503307],23.02439730000333,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,1,1,23.557594300000346,None,['3'],1,[0.31018719999701716],23.557594300000346,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
