Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Blocks_TMTControl_2.thisRepN,Blocks_TMTControl_2.thisTrialN,Blocks_TMTControl_2.thisN,Blocks_TMTControl_2.thisIndex,trials_TMTControl_2.thisRepN,trials_TMTControl_2.thisTrialN,trials_TMTControl_2.thisN,trials_TMTControl_2.thisIndex,Blocks_TMTA_2.thisRepN,Blocks_TMTA_2.thisTrialN,Blocks_TMTA_2.thisN,Blocks_TMTA_2.thisIndex,trials_TMTA_2.thisRepN,trials_TMTA_2.thisTrialN,trials_TMTA_2.thisN,trials_TMTA_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.7005860999925062,10.328357500009588,None,,,,,,,,,,,,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.328357500009588,None,2,0,11.211205500003416,None,"['1', '2']",1,"[0.49192430000402965, 0.5690252000058535]",11.211205500003416,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,11.898610700009158,None,"['3', '1']",1,"[0.013711699997656979, 0.1571332000021357]",11.898610700009158,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,12.163687699998263,None,"['2', '3']",1,"[-0.043121199996676296, 0.05116450000787154]",12.163687699998263,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12.41581920000317,None,['1'],1,[-0.06868799999938346],12.41581920000317,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,12.54111780000676,None,"['2', '3']",1,"[-0.12349230000108946, -0.012672700002440251]",12.54111780000676,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12.6818185000011,None,['1'],1,[-0.027689800001098774],12.6818185000011,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12.807018899999093,None,['2'],1,[-0.09431310000945814],12.807018899999093,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,12.934842100003152,None,"['3', '1']",1,"[-0.10891530000662897, 0.021831899997778237]",12.934842100003152,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13.078313100006199,None,"['2', '3']",1,"[-0.049971000000368804, 0.08089870000549126]",13.078313100006199,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
