Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,s,1.6834474000061164,11.752444600002491,None,,,,,,,,,,,,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,11.752444600002491,None,1,1,13.627143100005924,None,['2'],1,[0.9853156000026502],13.627143100005924,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,1,1,14.731079700010014,None,['1'],1,[0.5507819000049494],14.731079700010014,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,1,1,15.488126199998078,None,['3'],1,[0.6039544999948703],15.488126199998078,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,1,1,16.206047800005763,None,['1'],1,[0.766109400006826],16.206047800005763,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,1,1,17.068535900005372,None,['3'],1,[0.7391538000083528],17.068535900005372,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,1,1,17.906859599999734,None,['1'],1,[0.7984865000034915],17.906859599999734,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,2,0,18.76457090000622,None,"['1', '2']",1,"[0.7409922999941045, 2.6378842999984045]",18.76457090000622,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,1,1,21.506122000006144,None,['1'],1,[0.8590934999956517],21.506122000006144,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,1,1,22.46443540000473,None,['3'],1,[0.7912358000030508],22.46443540000473,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,4,0,23.35588390000339,None,"['3', '1', '3', '2']",1,"[0.9577539000019897, 1.8977776000101585, 3.1111857000068994, 3.8385213000001386]",23.35588390000339,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,,,,,,,1,1,27.2811936000071,None,['1'],1,[0.7914004000049317],27.2811936000071,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,0,0,0,0,11,11,11,,,,,,,1,1,28.18957320001209,None,['2'],1,[0.627517800006899],28.18957320001209,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,1,1,28.87305510000442,None,['3'],1,[0.5939871000009589],28.87305510000442,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,1,1,29.531092300007003,None,['2'],1,[0.391090000004624],29.531092300007003,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,,,,,,,1,1,30.027232899999944,None,['3'],1,[0.5084357000014279],30.027232899999944,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,0,0,0,0,0,15,15,15,,,,,,,1,1,30.63455590000376,None,['2'],1,[0.3958853999938583],30.63455590000376,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,0,0,0,0,0,16,16,16,,,,,,,1,1,31.14782150000974,None,['3'],1,[0.6001072999933967],31.14782150000974,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,0,0,0,0,0,17,17,17,,,,,,,1,1,31.871538799998234,None,['2'],1,[0.2741602000023704],31.871538799998234,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,0,0,0,0,0,18,18,18,,,,,,,1,1,32.262091199998395,None,['1'],1,[0.49867620000441093],32.262091199998395,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,0,0,0,0,0,19,19,19,,,,,,,1,1,32.85631610000564,None,['3'],1,[0.2694858999893768],32.85631610000564,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,0,0,0,0,0,20,20,20,,,,,,,1,1,33.18945030000759,None,['1'],1,[0.33903890001238324],33.18945030000759,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,0,0,0,0,0,21,21,21,,,,,,,1,1,33.589612100011436,None,['2'],1,[0.307419500008109],33.589612100011436,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,0,0,0,0,0,22,22,22,,,,,,,1,1,33.998193200008245,None,['3'],1,[0.24932419999095146],33.998193200008245,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,0,0,0,0,0,23,23,23,,,,,,,1,1,34.35202060001029,None,['2'],1,[0.2780254999961471],34.35202060001029,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,0,0,0,0,0,24,24,24,,,,,,,1,1,34.743984500004444,None,['1'],1,[0.2733539000037126],34.743984500004444,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,0,0,35.07288150000386,None,None,1,,35.07288150000386,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,1,1,1,0,0,0,0,,,,,,,1,1,39.23961590000545,None,['2'],1,[0.954830699993181],39.23961590000545,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
