NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1.0,13.627142906188965,13.627142906188965,0.0,,1.0,1.0,0.0,2,0.9853156000026502,13.627142906188965,13.627142906188965,0.0,,0.0
2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,1.0,14.731080055236816,14.731080055236816,0.0,,1.0,1.0,0.0,1,0.5507819000049494,14.731080055236816,14.731080055236816,0.0,,1.0
3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,1.0,15.488125801086426,15.488125801086426,0.0,,1.0,1.0,0.0,3,0.6039544999948703,15.488125801086426,15.488125801086426,0.0,,2.0
4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,1.0,16.20604705810547,16.20604705810547,0.0,,1.0,1.0,0.0,1,0.766109400006826,16.20604705810547,16.20604705810547,0.0,,3.0
5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,1.0,17.06853675842285,17.06853675842285,0.0,,1.0,1.0,0.0,3,0.7391538000083528,17.06853675842285,17.06853675842285,0.0,,4.0
6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,1.0,17.9068603515625,17.9068603515625,0.0,,1.0,1.0,0.0,1,0.7984865000034915,17.9068603515625,17.9068603515625,0.0,,5.0
7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,1.0,18.764570236206055,18.764570236206055,0.0,,1.0,1.0,0.0,1,2,0.7409922999941045,2.6378842999984045,18.764570236206055,18.764570236206055,0.0,,6.0
8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,1.0,21.506122589111328,21.506122589111328,0.0,,1.0,1.0,0.0,1,0.8590934999956517,21.506122589111328,21.506122589111328,0.0,,7.0
9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,1.0,22.464435577392578,22.464435577392578,0.0,,1.0,1.0,0.0,3,0.7912358000030508,22.464435577392578,22.464435577392578,0.0,,8.0
10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,1.0,23.355884552001953,23.355884552001953,0.0,,1.0,1.0,0.0,3,1,3,2,0.9577539000019897,1.8977776000101585,3.1111857000068994,3.8385213000001386,23.355884552001953,23.355884552001953,0.0,,9.0
11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,1.0,27.281192779541016,27.281192779541016,0.0,,1.0,1.0,0.0,1,0.7914004000049317,27.281192779541016,27.281192779541016,0.0,,10.0
12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,1.0,28.189573287963867,28.189573287963867,0.0,,1.0,1.0,0.0,2,0.627517800006899,28.189573287963867,28.189573287963867,0.0,,11.0
13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,1.0,28.87305450439453,28.87305450439453,0.0,,1.0,1.0,0.0,3,0.5939871000009589,28.87305450439453,28.87305450439453,0.0,,12.0
14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,1.0,29.531091690063477,29.531091690063477,0.0,,1.0,1.0,0.0,2,0.391090000004624,29.531091690063477,29.531091690063477,0.0,,13.0
15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,1.0,30.027233123779297,30.027233123779297,0.0,,1.0,1.0,0.0,3,0.5084357000014279,30.027233123779297,30.027233123779297,0.0,,14.0
16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,1.0,30.63455581665039,30.63455581665039,0.0,,1.0,1.0,0.0,2,0.3958853999938583,30.63455581665039,30.63455581665039,0.0,,15.0
17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,1.0,31.1478214263916,31.1478214263916,0.0,,1.0,1.0,0.0,3,0.6001072999933967,31.1478214263916,31.1478214263916,0.0,,16.0
18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,1.0,31.871538162231445,31.871538162231445,0.0,,1.0,1.0,0.0,2,0.2741602000023704,31.871538162231445,31.871538162231445,0.0,,17.0
19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,1.0,32.26209259033203,32.26209259033203,0.0,,1.0,1.0,0.0,1,0.49867620000441093,32.26209259033203,32.26209259033203,0.0,,18.0
20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,1.0,32.85631561279297,32.85631561279297,0.0,,1.0,1.0,0.0,3,0.2694858999893768,32.85631561279297,32.85631561279297,0.0,,19.0
21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,1.0,33.189449310302734,33.189449310302734,0.0,,1.0,1.0,0.0,1,0.33903890001238324,33.189449310302734,33.189449310302734,0.0,,20.0
22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,1.0,33.5896110534668,33.5896110534668,0.0,,1.0,1.0,0.0,2,0.307419500008109,33.5896110534668,33.5896110534668,0.0,,21.0
23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,1.0,33.998191833496094,33.998191833496094,0.0,,1.0,1.0,0.0,3,0.24932419999095146,33.998191833496094,33.998191833496094,0.0,,22.0
24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,1.0,34.352020263671875,34.352020263671875,0.0,,1.0,1.0,0.0,2,0.2780254999961471,34.352020263671875,34.352020263671875,0.0,,23.0
25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,1.0,34.74398422241211,34.74398422241211,0.0,,1.0,1.0,0.0,1,0.2733539000037126,34.74398422241211,34.74398422241211,0.0,,24.0
None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,1.0,35.072879791259766,35.072879791259766,0.0,,1.0,1.0,0.0,,'--',35.072879791259766,35.072879791259766,0.0,,25.0

extraInfo
participant,
session,001
date,2022_May_10_1433
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,123.21082481031756
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,1.0,39.23961639404297,39.23961639404297,0.0,,1.0,1.0,0.0,2,0.954830699993181,39.23961639404297,39.23961639404297,0.0,,0.0
2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,1.0,40.2856330871582,40.2856330871582,0.0,,1.0,1.0,0.0,3,0.2104576999990968,40.2856330871582,40.2856330871582,0.0,,1.0
3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,1.0,40.58120346069336,40.58120346069336,0.0,,1.0,1.0,0.0,2,0.18072589999064803,40.58120346069336,40.58120346069336,0.0,,2.0
4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,1.0,40.831260681152344,40.831260681152344,0.0,,1.0,1.0,0.0,3,0.44271390000358224,40.831260681152344,40.831260681152344,0.0,,3.0
5,['2'],2,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,1.0,41.33942794799805,41.33942794799805,0.0,,1.0,1.0,0.0,2,0.19470540000475012,41.33942794799805,41.33942794799805,0.0,,4.0
6,['3'],3,TMTstop-control_1_2linestimulus3.png,TMTstop-control_1_2greenlinestimulus3.png,TMTstop-control_1_2redlinestimulus3.png,TMT_Control,2,31,1.0,41.67997741699219,41.67997741699219,0.0,,1.0,1.0,0.0,3,0.15075390000129119,41.67997741699219,41.67997741699219,0.0,,5.0
7,['2'],2,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus4.png,TMTstop-control_1_2redlinestimulus4.png,TMT_Control,2,32,1.0,41.94375228881836,41.94375228881836,0.0,,1.0,1.0,0.0,2,0.1584693999902811,41.94375228881836,41.94375228881836,0.0,,6.0
8,['1'],1,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus5.png,TMTstop-control_1_2redlinestimulus5.png,TMT_Control,2,33,1.0,42.19411849975586,42.19411849975586,0.0,,1.0,1.0,0.0,1,0.190256900008535,42.19411849975586,42.19411849975586,0.0,,7.0
9,['3'],3,TMTstop-control_1_2linestimulus6.png,TMTstop-control_1_2greenlinestimulus6.png,TMTstop-control_1_2redlinestimulus6.png,TMT_Control,2,34,1.0,42.50645065307617,42.50645065307617,0.0,,1.0,1.0,0.0,3,0.18113489999086596,42.50645065307617,42.50645065307617,0.0,,8.0
10,['2'],2,TMTstop-control_1_2linestimulus7.png,TMTstop-control_1_2greenlinestimulus7.png,TMTstop-control_1_2redlinestimulus7.png,TMT_Control,2,35,1.0,42.76445007324219,42.76445007324219,0.0,,1.0,1.0,0.0,2,0.2244893999886699,42.76445007324219,42.76445007324219,0.0,,9.0
