Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,s,0.9936356999969576,9.775777600007132,None,,,,,,,,,,,,,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,9.775777600007132,None,1,1,1.0472068000090076,10.95943050000642,None,['2'],1,[0.8533420000021579],10.95943050000642,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,1,1,1.1052299000002677,11.884852000002866,None,['1'],1,[-0.01419379998696968],11.884852000002866,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,1,1,1.989320200009388,11.934908299997915,None,['3'],1,[0.8245936000021175],11.934908299997915,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,1,1,2.381183700010297,12.827137200001744,None,['1'],1,[0.3305518999986816],12.827137200001744,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,2,0,3.0437952000065707,13.218554899998708,None,"['2', '3']",1,"[0.28047280000464525, 0.5818148999969708]",13.218554899998708,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,2,0,3.6898094000061974,13.872759500009124,None,"['2', '1']",1,"[0.29294250000384636, 0.5949738000053912]",13.872759500009124,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,1,1,3.8898699000128545,14.519278200008557,None,['2'],1,[0.14709399999992456],14.519278200008557,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,2,0,4.469679200003156,14.727922400008538,None,"['3', '1']",1,"[0.09932919999118894, 0.48062479999498464]",14.727922400008538,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,2,0,4.799790700009908,15.300134000004618,None,"['2', '3']",1,"[0.1090315999899758, 0.23031309999350924]",15.300134000004618,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,2,0,5.181760100007523,15.629752599998028,None,"['1', '2']",1,"[0.16042729999753647, 0.2860976999945706]",15.629752599998028,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,,,,,,,2,0,5.488199300001725,16.018260900003952,None,"['3', '1']",1,"[0.027888700002222322, 0.20902900000510272]",16.018260900003952,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,0,0,0,0,11,11,11,,,,,,,1,1,5.538325700006681,16.318034900003113,None,['2'],1,[-0.029233499997644685],16.318034900003113,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,1,1,5.639241200013203,16.368358300009277,None,['3'],1,[0.03232670000579674],16.368358300009277,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,2,0,5.872199500008719,16.468309900010354,None,"['1', '2']",1,"[0.07479800000146497, 0.15297709999140352]",16.468309900010354,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,,,,,,,1,1,5.945222300011665,16.70863890000328,None,['3'],1,[0.01619780001055915],16.70863890000328,None,,001,2022_May_10_1927,TMT_fmri,2021.2.3,59.73519388409551,
,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
