Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,s,1.539528200024506,8.316299800004344,None,,,,,,,,,,,,,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1,1,0,0,0,0,0,0,0,0,,,,,8.316299800004344,None,1,1,1.9437278999830596,25.043343299999833,None,['2'],1,[1.7580006000061985],25.043343299999833,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,5,0,3.5920683999720495,26.845794699998805,None,"['2', '3', '2', '3', '1']",1,"[0.4358228000055533, 0.5033454000076745, 0.7830389000009745, 0.8471146000083536, 1.5912142000161111]",26.845794699998805,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,2,0,3.8462049999798182,28.4925254000118,None,"['2', '3']",1,"[0.000535300001502037, 0.1908592999971006]",28.4925254000118,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,1,1,4.011673499975586,28.746501800022088,None,['1'],1,[0.12700279999990016],28.746501800022088,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,2,0,4.238145599985728,28.911915000004228,None,"['2', '3']",1,"[0.03861839999444783, 0.17046870000194758]",28.911915000004228,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,1,1,4.368784099991899,29.138342499994906,None,['1'],1,[0.0870641999936197],29.138342499994906,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,None,1,0,0,0,0,0,6,6,6,,,,,,,1,1,4.422240199986845,29.26958730001934,None,['2'],1,[0.011189899989403784],29.26958730001934,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,None,1,0,0,0,0,0,7,7,7,,,,,,,2,0,4.657538799976464,29.322249699995155,None,"['3', '1']",1,"[0.0545945999911055, 0.17709019998437725]",29.322249699995155,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,None,1,0,0,0,0,0,8,8,8,,,,,,,2,0,4.807611500000348,29.556604300014442,None,"['2', '3']",1,"[0.004107899992959574, 0.09606539999367669]",29.556604300014442,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,None,1,0,0,0,0,0,9,9,9,,,,,,,2,0,4.9941246999951545,29.707995100005064,None,"['1', '2']",1,"[0.06602580001344904, 0.11643399999593385]",29.707995100005064,None,,001,2022_May_11_1800,TMT_fmri,2021.2.3,144.0036173447666,
