Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.started,key_resp_8.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.started,key_resp_2.stopped,ResponseClock,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,2.015519900000072,8.708761400004732,None,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8.708761400004732,None,0,0,24.423500699995202,None,None,0,24.423500699995202,None,,,,,,,,,,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-Control_1_2.xlsx,26:52,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,None,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,0,0,72.01545259999693,None,None,0,72.01545259999693,None,,,,,,,,,,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_1.xlsx,0:26,1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,1,1,1,2,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,122.63378799999191,None,None,0,122.63378799999191,None,,,,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_2.xlsx,26:52,1,['1'],1,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMT_A,2,26,None,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,0,0,,,,,,,215.751863700003,None,None,0,215.751863700003,None,,,,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,1,['1'],1,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMT_A,3,51,None,2,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,1,1,,,,,,,308.8699191999913,None,['1'],1,308.8699191999913,None,325.8776033000031,[41.233301400003256],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,2,['3'],3,TMTstop-A_1_3.png,TMTstop-A_1_3firstgreen.png,TMTstop-A_1_3firstred.png,TMT_A,3,52,None,2,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,2,0,,,,,,,350.16317709999566,None,"['2', '3']",1,350.16317709999566,None,326.0978421000036,"[0.0662086999946041, 0.13983990000269841]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,3,['2'],2,TMTstop-A_1_3linestimulus0.png,TMTstop-A_1_3greenlinestimulus0.png,TMTstop-A_1_3redlinestimulus0.png,TMT_A,3,53,None,2,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,2,0,,,,,,,350.3634636999923,None,"['1', '2']",1,350.3634636999923,None,326.29881180000666,"[0.0814995000109775, 0.14276880001125392]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,4,['3'],3,TMTstop-A_1_3linestimulus1.png,TMTstop-A_1_3greenlinestimulus1.png,TMTstop-A_1_3redlinestimulus1.png,TMT_A,3,54,None,2,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,1,1,,,,,,,350.5645000999939,None,['3'],1,350.5645000999939,None,326.38805400001,[0.04924639999808278],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,5,['2'],2,TMTstop-A_1_3linestimulus2.png,TMTstop-A_1_3greenlinestimulus2.png,TMTstop-A_1_3redlinestimulus2.png,TMT_A,3,55,None,2,,,,,,,,,0,2,2,2,0,4,4,4,,,,,,,2,0,,,,,,,350.6544908999931,None,"['1', '2']",1,350.6544908999931,None,326.92720770000597,"[0.15718049999850336, 0.4825772999902256]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
