Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_baseline1.thisRepN,Blocks_baseline1.thisTrialN,Blocks_baseline1.thisN,Blocks_baseline1.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMT.thisRepN,Blocks_TMT.thisTrialN,Blocks_TMT.thisN,Blocks_TMT.thisIndex,Block_file,trials_TMT.thisRepN,trials_TMT.thisTrialN,trials_TMT.thisN,trials_TMT.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.5531566999998176,11.181608500002767,None,,,,,,,,,,,,,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,11.181608500002767,None,2,0,2.2133940999920014,25.47522469999967,None,"['3', '2']",1,"[1.9264354000042658, 1.985322399996221]",25.47522469999967,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,1,1,2.296343499998329,27.514726199995494,None,['1'],1,[0.0328665999986697],27.514726199995494,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,1,1,2.446870299987495,27.598758199994336,None,['3'],1,[0.09019940000143833],27.598758199994336,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,2,0,2.563904899987392,27.76535159999912,None,"['2', '1']",1,"[-0.034316799996304326, 0.04602929999236949]",27.76535159999912,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,1,1,2.685893899993971,27.871193900005892,None,['3'],1,[0.06115229999704752],27.871193900005892,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,2,0,2.859859999996843,28.004526399992756,None,"['2', '1']",1,"[-0.04005630000028759, 0.060359800001606345]",28.004526399992756,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,None,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,2,0,3.0105877999885706,28.162025400000857,None,"['3', '2']",1,"[0.02262709999922663, 0.0686757000075886]",28.162025400000857,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,None,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,1,1,3.0756460999982664,28.31080710000242,None,['1'],1,[0.008627699993667193],28.31080710000242,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,None,1,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,1,1,3.2171499999967637,28.382039699994493,None,['3'],1,[0.057102500009932555],28.382039699994493,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,None,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,1,1,3.266746699999203,28.518637000001036,None,['2'],1,[0.0010998999932780862],28.518637000001036,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,None,1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,1,1,3.333709099999396,28.568702000004123,None,['1'],1,[0.008749400003580377],28.568702000004123,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
C1,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,None,1,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,0,0,,28.639334199993755,None,None,0,,28.639334199993755,None,,001,2022_Nov_17_2103,TMT_fmri,2021.2.3,59.960521991869435,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
