Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.8832570999948075,11.983735599991633,None,,,,,,,,,,,,,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11.983735599991633,None,1,1,2.6450692000071285,26.69644580000022,None,['2'],1,[2.3104577000049176],26.69644580000022,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
C1,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,3,0,3.493102699998417,29.07373329999973,None,"['3', '2', '1']",1,"[0.5028470999968704, 0.7883663999964483, 0.7894726999948034]",29.07373329999973,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
C1,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,1,1,3.725098800001433,29.912009099993156,None,['3'],1,[0.18230749999929685],29.912009099993156,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
C1,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,1,1,3.8830610000004526,30.153234400000656,None,['1'],1,[0.08889499999349937],30.153234400000656,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
C1,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,2,0,4.074074500007555,30.31138899999496,None,"['2', '3']",1,"[0.0191808000090532, 0.10778590000700206]",30.31138899999496,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
C1,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,0,0,,30.49899339998956,None,None,0,,30.49899339998956,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
A1,208:234,1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,A1,1,1,2,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,1,57.35591870000644,81.20765319999191,None,['1'],1,[2.5151568000001134],81.20765319999191,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
A1,208:234,2,['3'],3,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,TMT_A,A1,2,None,2,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,2,0,57.54792380001163,83.78510769999411,None,"['2', '3']",1,"[0.032365099992603064, 0.11551749998761807]",83.78510769999411,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
A1,208:234,3,['1'],1,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,TMT_A,A1,3,None,2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,1,1,57.68984230000933,83.97252459998708,None,['1'],1,[0.0875681000034092],83.97252459998708,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
A1,208:234,4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,TMT_A,A1,4,None,2,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,2,0,57.839946300009615,84.10982199999853,None,"['2', '3']",1,"[0.00026950000028591603, 0.0920987999998033]",84.10982199999853,None,,001,2022_Nov_17_2223,TMT_fmri,2021.2.3,59.93155815921514,
