NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_mean,Stim.started_raw,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-A_1_4.png,TMTstop-A_1_4.png,TMTstop-A_1_4.png,TMT_A,A4,76,2,5,1.0,299.2649905500075,299.2649905500075,,0.0,0.0,0.0,,299.2649905500075,299.2649905500075,,0.0
2,['3'],3,TMTstop-A_1_4.png,TMTstop-A_1_4firstgreen.png,TMTstop-A_1_4firstred.png,TMT_A,A4,77,None,5,1.0,299.2983471300089,299.2983471300089,,0.0,0.0,0.0,,299.2983471300089,299.2983471300089,,1.0
3,['1'],1,TMTstop-A_1_4linestimulus0.png,TMTstop-A_1_4greenlinestimulus0.png,TMTstop-A_1_4redlinestimulus0.png,TMT_A,A4,78,None,5,1.0,299.33170371001034,299.33170371001034,,0.0,0.0,0.0,,299.33170371001034,299.33170371001034,,2.0
4,['3'],3,TMTstop-A_1_4linestimulus1.png,TMTstop-A_1_4greenlinestimulus1.png,TMTstop-A_1_4redlinestimulus1.png,TMT_A,A4,79,None,5,1.0,299.36506029001174,299.36506029001174,,0.0,0.0,0.0,,299.36506029001174,299.36506029001174,,3.0
5,['2'],2,TMTstop-A_1_4linestimulus2.png,TMTstop-A_1_4greenlinestimulus2.png,TMTstop-A_1_4redlinestimulus2.png,TMT_A,A4,80,None,5,1.0,299.39841687001314,299.39841687001314,,0.0,0.0,0.0,,299.39841687001314,299.39841687001314,,4.0
6,['1'],1,TMTstop-A_1_4linestimulus3.png,TMTstop-A_1_4greenlinestimulus3.png,TMTstop-A_1_4redlinestimulus3.png,TMT_A,A4,81,None,5,1.0,299.4317734500146,299.4317734500146,,0.0,0.0,0.0,,299.4317734500146,299.4317734500146,,5.0
7,['2'],2,TMTstop-A_1_4linestimulus4.png,TMTstop-A_1_4greenlinestimulus4.png,TMTstop-A_1_4redlinestimulus4.png,TMT_A,A4,82,None,5,1.0,299.4818083200167,299.4818083200167,,0.0,0.0,0.0,,299.4818083200167,299.4818083200167,,6.0
8,['1'],1,TMTstop-A_1_4linestimulus5.png,TMTstop-A_1_4greenlinestimulus5.png,TMTstop-A_1_4redlinestimulus5.png,TMT_A,A4,83,None,5,1.0,299.51516490001814,299.51516490001814,,0.0,0.0,0.0,,299.51516490001814,299.51516490001814,,7.0
9,['3'],3,TMTstop-A_1_4linestimulus6.png,TMTstop-A_1_4greenlinestimulus6.png,TMTstop-A_1_4redlinestimulus6.png,TMT_A,A4,84,None,5,1.0,299.56519977002023,299.56519977002023,,0.0,0.0,0.0,,299.56519977002023,299.56519977002023,,8.0
10,['2'],2,TMTstop-A_1_4linestimulus7.png,TMTstop-A_1_4greenlinestimulus7.png,TMTstop-A_1_4redlinestimulus7.png,TMT_A,A4,85,None,5,1.0,299.6152346400224,299.6152346400224,,0.0,0.0,0.0,,299.6152346400224,299.6152346400224,,9.0
11,['3'],3,TMTstop-A_1_4linestimulus8.png,TMTstop-A_1_4greenlinestimulus8.png,TMTstop-A_1_4redlinestimulus8.png,TMT_A,A4,86,None,5,1.0,299.6485912200238,299.6485912200238,,0.0,0.0,0.0,,299.6485912200238,299.6485912200238,,10.0
12,['1'],1,TMTstop-A_1_4linestimulus9.png,TMTstop-A_1_4greenlinestimulus9.png,TMTstop-A_1_4redlinestimulus9.png,TMT_A,A4,87,None,5,1.0,299.6819478000252,299.6819478000252,,0.0,0.0,0.0,,299.6819478000252,299.6819478000252,,11.0
13,['3'],3,TMTstop-A_1_4linestimulus10.png,TMTstop-A_1_4greenlinestimulus10.png,TMTstop-A_1_4redlinestimulus10.png,TMT_A,A4,88,None,5,1.0,299.7153043800266,299.7153043800266,,0.0,0.0,0.0,,299.7153043800266,299.7153043800266,,12.0
14,['1'],1,TMTstop-A_1_4linestimulus11.png,TMTstop-A_1_4greenlinestimulus11.png,TMTstop-A_1_4redlinestimulus11.png,TMT_A,A4,89,None,5,1.0,299.7486609600281,299.7486609600281,,0.0,0.0,0.0,,299.7486609600281,299.7486609600281,,13.0
15,['2'],2,TMTstop-A_1_4linestimulus12.png,TMTstop-A_1_4greenlinestimulus12.png,TMTstop-A_1_4redlinestimulus12.png,TMT_A,A4,90,None,5,1.0,299.78201754002947,299.78201754002947,,0.0,0.0,0.0,,299.78201754002947,299.78201754002947,,14.0
16,['1'],1,TMTstop-A_1_4linestimulus13.png,TMTstop-A_1_4greenlinestimulus13.png,TMTstop-A_1_4redlinestimulus13.png,TMT_A,A4,91,None,5,1.0,299.81537412003087,299.81537412003087,,0.0,0.0,0.0,,299.81537412003087,299.81537412003087,,15.0
17,['3'],3,TMTstop-A_1_4linestimulus14.png,TMTstop-A_1_4greenlinestimulus14.png,TMTstop-A_1_4redlinestimulus14.png,TMT_A,A4,92,None,5,1.0,299.8487307000323,299.8487307000323,,0.0,0.0,0.0,,299.8487307000323,299.8487307000323,,16.0
18,['2'],2,TMTstop-A_1_4linestimulus15.png,TMTstop-A_1_4greenlinestimulus15.png,TMTstop-A_1_4redlinestimulus15.png,TMT_A,A4,93,None,5,1.0,299.8820872800337,299.8820872800337,,0.0,0.0,0.0,,299.8820872800337,299.8820872800337,,17.0
19,['3'],3,TMTstop-A_1_4linestimulus16.png,TMTstop-A_1_4greenlinestimulus16.png,TMTstop-A_1_4redlinestimulus16.png,TMT_A,A4,94,None,5,1.0,299.91544386003517,299.91544386003517,,0.0,0.0,0.0,,299.91544386003517,299.91544386003517,,18.0
