NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_raw,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_raw,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-A_1_4.png,TMTstop-A_1_4.png,TMTstop-A_1_4.png,TMT_A,A4,76,2,5,1.0,'388.83597',,1.0,1.0,0.0,1,2,6.225193799997214,6.3454644000012195,'388.83597',,0.0
2,['3'],3,TMTstop-A_1_4.png,TMTstop-A_1_4firstgreen.png,TMTstop-A_1_4firstred.png,TMT_A,A4,77,None,5,1.0,'395.28516',,1.0,1.0,0.0,3,0.010222500000963919,'395.28516',,1.0
3,['1'],1,TMTstop-A_1_4linestimulus0.png,TMTstop-A_1_4greenlinestimulus0.png,TMTstop-A_1_4redlinestimulus0.png,TMT_A,A4,78,None,5,1.0,'395.35825',,1.0,1.0,0.0,1,0.11126089999743272,'395.35825',,2.0
4,['3'],3,TMTstop-A_1_4linestimulus1.png,TMTstop-A_1_4greenlinestimulus1.png,TMTstop-A_1_4redlinestimulus1.png,TMT_A,A4,79,None,5,1.0,'395.52542',,1.0,1.0,0.0,2,3,-0.003253599992603995,0.09778000001097098,'395.52542',,3.0
5,['2'],2,TMTstop-A_1_4linestimulus2.png,TMTstop-A_1_4greenlinestimulus2.png,TMTstop-A_1_4redlinestimulus2.png,TMT_A,A4,80,None,5,1.0,'395.6877',,1.0,1.0,0.0,1,2,0.06278440001187846,0.13679060000868049,'395.6877',,4.0
6,['1'],1,TMTstop-A_1_4linestimulus3.png,TMTstop-A_1_4greenlinestimulus3.png,TMTstop-A_1_4redlinestimulus3.png,TMT_A,A4,81,None,5,1.0,'395.91052',,1.0,1.0,0.0,3,1,-0.0051081999990856275,6.901905500009889,'395.91052',,5.0
7,['2'],2,TMTstop-A_1_4linestimulus4.png,TMTstop-A_1_4greenlinestimulus4.png,TMTstop-A_1_4redlinestimulus4.png,TMT_A,A4,82,None,5,1.0,'402.91028',,1.0,1.0,0.0,2,0.3860045000037644,'402.91028',,6.0
8,['1'],1,TMTstop-A_1_4linestimulus5.png,TMTstop-A_1_4greenlinestimulus5.png,TMTstop-A_1_4redlinestimulus5.png,TMT_A,A4,83,None,5,1.0,'403.3693',,1.0,1.0,0.0,1,2.5610803000017768,'403.3693',,7.0
9,['3'],3,TMTstop-A_1_4linestimulus6.png,TMTstop-A_1_4greenlinestimulus6.png,TMTstop-A_1_4redlinestimulus6.png,TMT_A,A4,84,None,5,1.0,'405.99628',,1.0,1.0,0.0,3,0.4113744000060251,'405.99628',,8.0
10,['2'],2,TMTstop-A_1_4linestimulus7.png,TMTstop-A_1_4greenlinestimulus7.png,TMTstop-A_1_4redlinestimulus7.png,TMT_A,A4,85,None,5,1.0,'406.4711',,1.0,1.0,0.0,2,0.7178314000047976,'406.4711',,9.0
11,['3'],3,TMTstop-A_1_4linestimulus8.png,TMTstop-A_1_4greenlinestimulus8.png,TMTstop-A_1_4redlinestimulus8.png,TMT_A,A4,86,None,5,1.0,'407.24628',,1.0,1.0,0.0,3,1.6262679000064963,'407.24628',,10.0
12,['1'],1,TMTstop-A_1_4linestimulus9.png,TMTstop-A_1_4greenlinestimulus9.png,TMTstop-A_1_4redlinestimulus9.png,TMT_A,A4,87,None,5,1.0,'408.93994',,0.0,0.0,0.0,,'--','408.93994',,11.0
13,['3'],3,TMTstop-A_1_4linestimulus10.png,TMTstop-A_1_4greenlinestimulus10.png,TMTstop-A_1_4redlinestimulus10.png,TMT_A,A4,88,None,5,1.0,478.6463970900033,,0.0,0.0,0.0,,'--',478.6463970900033,,12.0
14,['1'],1,TMTstop-A_1_4linestimulus11.png,TMTstop-A_1_4greenlinestimulus11.png,TMTstop-A_1_4redlinestimulus11.png,TMT_A,A4,89,None,5,1.0,478.6800693500045,,0.0,0.0,0.0,,'--',478.6800693500045,,13.0
15,['2'],2,TMTstop-A_1_4linestimulus12.png,TMTstop-A_1_4greenlinestimulus12.png,TMTstop-A_1_4redlinestimulus12.png,TMT_A,A4,90,None,5,1.0,478.7137416100056,,0.0,0.0,0.0,,'--',478.7137416100056,,14.0
16,['1'],1,TMTstop-A_1_4linestimulus13.png,TMTstop-A_1_4greenlinestimulus13.png,TMTstop-A_1_4redlinestimulus13.png,TMT_A,A4,91,None,5,1.0,478.7474138700068,,0.0,0.0,0.0,,'--',478.7474138700068,,15.0
17,['3'],3,TMTstop-A_1_4linestimulus14.png,TMTstop-A_1_4greenlinestimulus14.png,TMTstop-A_1_4redlinestimulus14.png,TMT_A,A4,92,None,5,1.0,478.781086130008,,0.0,0.0,0.0,,'--',478.781086130008,,16.0
18,['2'],2,TMTstop-A_1_4linestimulus15.png,TMTstop-A_1_4greenlinestimulus15.png,TMTstop-A_1_4redlinestimulus15.png,TMT_A,A4,93,None,5,1.0,478.8147583900092,,0.0,0.0,0.0,,'--',478.8147583900092,,17.0
19,['3'],3,TMTstop-A_1_4linestimulus16.png,TMTstop-A_1_4greenlinestimulus16.png,TMTstop-A_1_4redlinestimulus16.png,TMT_A,A4,94,None,5,1.0,478.8484306500104,,0.0,0.0,0.0,,'--',478.8484306500104,,18.0
20,['2'],2,TMTstop-A_1_4linestimulus17.png,TMTstop-A_1_4greenlinestimulus17.png,TMTstop-A_1_4redlinestimulus17.png,TMT_A,A4,95,None,5,1.0,478.88210291001155,,0.0,0.0,0.0,,'--',478.88210291001155,,19.0
21,['1'],1,TMTstop-A_1_4linestimulus18.png,TMTstop-A_1_4greenlinestimulus18.png,TMTstop-A_1_4redlinestimulus18.png,TMT_A,A4,96,None,5,1.0,478.91577517001275,,0.0,0.0,0.0,,'--',478.91577517001275,,20.0
22,['3'],3,TMTstop-A_1_4linestimulus19.png,TMTstop-A_1_4greenlinestimulus19.png,TMTstop-A_1_4redlinestimulus19.png,TMT_A,A4,97,None,5,1.0,478.94944743001395,,0.0,0.0,0.0,,'--',478.94944743001395,,21.0
23,['1'],1,TMTstop-A_1_4linestimulus20.png,TMTstop-A_1_4greenlinestimulus20.png,TMTstop-A_1_4redlinestimulus20.png,TMT_A,A4,98,None,5,1.0,478.98311969001514,,0.0,0.0,0.0,,'--',478.98311969001514,,22.0
24,['2'],2,TMTstop-A_1_4linestimulus21.png,TMTstop-A_1_4greenlinestimulus21.png,TMTstop-A_1_4redlinestimulus21.png,TMT_A,A4,99,None,5,1.0,479.01679195001634,,0.0,0.0,0.0,,'--',479.01679195001634,,23.0
25,['3'],3,TMTstop-A_1_4linestimulus22.png,TMTstop-A_1_4greenlinestimulus22.png,TMTstop-A_1_4redlinestimulus22.png,TMT_A,A4,100,None,5,1.0,479.0504642100175,,0.0,0.0,0.0,,'--',479.0504642100175,,24.0
None,None,None,TMTstop-A_1_4linestimulus23.png,TMTstop-A_1_4greenlinestimulus23.png,TMTstop-A_1_4redlinestimulus23.png,TMT_A,A4,Feedback_last,None,5,1.0,479.0841364700187,,1.0,1.0,0.0,,'--',479.0841364700187,,25.0

extraInfo
participant,
session,001
date,2022_Nov_18_0015
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.9428025783916
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_mean,Stim.started_raw,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-A_1_5.png,TMTstop-A_1_5.png,TMTstop-A_1_5.png,TMT_A,A5,101,None,5,1.0,481.3679933800071,481.3679933800071,,0.0,0.0,0.0,,481.3679933800071,481.3679933800071,,0.0
2,['1'],1,TMTstop-A_1_5.png,TMTstop-A_1_5firstgreen.png,TMTstop-A_1_5firstred.png,TMT_A,A5,102,None,5,1.0,481.4016656400083,481.4016656400083,,0.0,0.0,0.0,,481.4016656400083,481.4016656400083,,1.0
3,['3'],3,TMTstop-A_1_5linestimulus0.png,TMTstop-A_1_5greenlinestimulus0.png,TMTstop-A_1_5redlinestimulus0.png,TMT_A,A5,103,None,5,1.0,481.4353379000095,481.4353379000095,,0.0,0.0,0.0,,481.4353379000095,481.4353379000095,,2.0
4,['1'],1,TMTstop-A_1_5linestimulus1.png,TMTstop-A_1_5greenlinestimulus1.png,TMTstop-A_1_5redlinestimulus1.png,TMT_A,A5,104,None,5,1.0,481.4690101600106,481.4690101600106,,0.0,0.0,0.0,,481.4690101600106,481.4690101600106,,3.0
5,['2'],2,TMTstop-A_1_5linestimulus2.png,TMTstop-A_1_5greenlinestimulus2.png,TMTstop-A_1_5redlinestimulus2.png,TMT_A,A5,105,None,5,1.0,481.5026824200118,481.5026824200118,,0.0,0.0,0.0,,481.5026824200118,481.5026824200118,,4.0
6,['1'],1,TMTstop-A_1_5linestimulus3.png,TMTstop-A_1_5greenlinestimulus3.png,TMTstop-A_1_5redlinestimulus3.png,TMT_A,A5,106,None,5,1.0,481.536354680013,481.536354680013,,0.0,0.0,0.0,,481.536354680013,481.536354680013,,5.0
7,['3'],3,TMTstop-A_1_5linestimulus4.png,TMTstop-A_1_5greenlinestimulus4.png,TMTstop-A_1_5redlinestimulus4.png,TMT_A,A5,107,None,5,1.0,481.5700269400142,481.5700269400142,,0.0,0.0,0.0,,481.5700269400142,481.5700269400142,,6.0
8,['2'],2,TMTstop-A_1_5linestimulus5.png,TMTstop-A_1_5greenlinestimulus5.png,TMTstop-A_1_5redlinestimulus5.png,TMT_A,A5,108,None,5,1.0,481.6036992000154,481.6036992000154,,0.0,0.0,0.0,,481.6036992000154,481.6036992000154,,7.0
9,['3'],3,TMTstop-A_1_5linestimulus6.png,TMTstop-A_1_5greenlinestimulus6.png,TMTstop-A_1_5redlinestimulus6.png,TMT_A,A5,109,None,5,1.0,481.63737146001654,481.63737146001654,,0.0,0.0,0.0,,481.63737146001654,481.63737146001654,,8.0
10,['1'],1,TMTstop-A_1_5linestimulus7.png,TMTstop-A_1_5greenlinestimulus7.png,TMTstop-A_1_5redlinestimulus7.png,TMT_A,A5,110,None,5,1.0,481.67104372001774,481.67104372001774,,0.0,0.0,0.0,,481.67104372001774,481.67104372001774,,9.0
11,['3'],3,TMTstop-A_1_5linestimulus8.png,TMTstop-A_1_5greenlinestimulus8.png,TMTstop-A_1_5redlinestimulus8.png,TMT_A,A5,111,None,5,1.0,481.70471598001893,481.70471598001893,,0.0,0.0,0.0,,481.70471598001893,481.70471598001893,,10.0
12,['2'],2,TMTstop-A_1_5linestimulus9.png,TMTstop-A_1_5greenlinestimulus9.png,TMTstop-A_1_5redlinestimulus9.png,TMT_A,A5,112,None,5,1.0,481.73838824002013,481.73838824002013,,0.0,0.0,0.0,,481.73838824002013,481.73838824002013,,11.0
13,['3'],3,TMTstop-A_1_5linestimulus10.png,TMTstop-A_1_5greenlinestimulus10.png,TMTstop-A_1_5redlinestimulus10.png,TMT_A,A5,113,None,5,1.0,481.7720605000213,481.7720605000213,,0.0,0.0,0.0,,481.7720605000213,481.7720605000213,,12.0
14,['2'],2,TMTstop-A_1_5linestimulus11.png,TMTstop-A_1_5greenlinestimulus11.png,TMTstop-A_1_5redlinestimulus11.png,TMT_A,A5,114,None,5,1.0,481.80573276002247,481.80573276002247,,0.0,0.0,0.0,,481.80573276002247,481.80573276002247,,13.0
15,['3'],3,TMTstop-A_1_5linestimulus12.png,TMTstop-A_1_5greenlinestimulus12.png,TMTstop-A_1_5redlinestimulus12.png,TMT_A,A5,115,None,5,1.0,481.83940502002366,481.83940502002366,,0.0,0.0,0.0,,481.83940502002366,481.83940502002366,,14.0
16,['2'],2,TMTstop-A_1_5linestimulus13.png,TMTstop-A_1_5greenlinestimulus13.png,TMTstop-A_1_5redlinestimulus13.png,TMT_A,A5,116,None,5,1.0,481.87307728002486,481.87307728002486,,0.0,0.0,0.0,,481.87307728002486,481.87307728002486,,15.0
17,['1'],1,TMTstop-A_1_5linestimulus14.png,TMTstop-A_1_5greenlinestimulus14.png,TMTstop-A_1_5redlinestimulus14.png,TMT_A,A5,117,None,5,1.0,481.90674954002606,481.90674954002606,,0.0,0.0,0.0,,481.90674954002606,481.90674954002606,,16.0
18,['3'],3,TMTstop-A_1_5linestimulus15.png,TMTstop-A_1_5greenlinestimulus15.png,TMTstop-A_1_5redlinestimulus15.png,TMT_A,A5,118,None,5,1.0,481.9572579300278,481.9572579300278,,0.0,0.0,0.0,,481.9572579300278,481.9572579300278,,17.0
19,['2'],2,TMTstop-A_1_5linestimulus16.png,TMTstop-A_1_5greenlinestimulus16.png,TMTstop-A_1_5redlinestimulus16.png,TMT_A,A5,119,None,5,1.0,481.990930190029,481.990930190029,,0.0,0.0,0.0,,481.990930190029,481.990930190029,,18.0
20,['1'],1,TMTstop-A_1_5linestimulus17.png,TMTstop-A_1_5greenlinestimulus17.png,TMTstop-A_1_5redlinestimulus17.png,TMT_A,A5,120,None,5,1.0,482.0246024500302,482.0246024500302,,0.0,0.0,0.0,,482.0246024500302,482.0246024500302,,19.0
21,['2'],2,TMTstop-A_1_5linestimulus18.png,TMTstop-A_1_5greenlinestimulus18.png,TMTstop-A_1_5redlinestimulus18.png,TMT_A,A5,121,None,5,1.0,482.05827471003136,482.05827471003136,,0.0,0.0,0.0,,482.05827471003136,482.05827471003136,,20.0
22,['3'],3,TMTstop-A_1_5linestimulus19.png,TMTstop-A_1_5greenlinestimulus19.png,TMTstop-A_1_5redlinestimulus19.png,TMT_A,A5,122,None,5,1.0,482.09194697003255,482.09194697003255,,0.0,0.0,0.0,,482.09194697003255,482.09194697003255,,21.0
23,['2'],2,TMTstop-A_1_5linestimulus20.png,TMTstop-A_1_5greenlinestimulus20.png,TMTstop-A_1_5redlinestimulus20.png,TMT_A,A5,123,None,5,1.0,482.12561923003375,482.12561923003375,,0.0,0.0,0.0,,482.12561923003375,482.12561923003375,,22.0
24,['3'],3,TMTstop-A_1_5linestimulus21.png,TMTstop-A_1_5greenlinestimulus21.png,TMTstop-A_1_5redlinestimulus21.png,TMT_A,A5,124,None,5,1.0,482.15929149003495,482.15929149003495,,0.0,0.0,0.0,,482.15929149003495,482.15929149003495,,23.0
25,['1'],1,TMTstop-A_1_5linestimulus22.png,TMTstop-A_1_5greenlinestimulus22.png,TMTstop-A_1_5redlinestimulus22.png,TMT_A,A5,125,None,5,1.0,482.19296375003614,482.19296375003614,,0.0,0.0,0.0,,482.19296375003614,482.19296375003614,,24.0
None,None,None,TMTstop-A_1_5linestimulus23.png,TMTstop-A_1_5greenlinestimulus23.png,TMTstop-A_1_5redlinestimulus23.png,TMT_A,A5,Feedback_last,None,5,1.0,482.2266360100373,482.2266360100373,,1.0,1.0,0.0,,482.2266360100373,482.2266360100373,,25.0

extraInfo
participant,
session,001
date,2022_Nov_18_0015
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.9428025783916
