Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,s,4.140946300001815,30.72014720000152,None,,,,,,,,,,,,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,30.72014720000152,None,1,1,35.080290500001865,None,['2'],1,[4.435079500006395],35.080290500001865,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,1,1,39.630844999992405,None,['1'],1,[0.8282289000053424],39.630844999992405,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,2,0,40.56780039999285,None,"['2', '3']",1,"[0.4150606000039261, 0.5625329000031343]",40.56780039999285,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,1,1,41.24069930000405,None,['1'],1,[0.09598659999028314],41.24069930000405,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,2,0,41.52019850000215,None,"['2', '3']",1,"[-0.11646949998976197, 0.007715300002018921]",41.52019850000215,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,1,1,41.661538300002576,None,['1'],1,[0.029813899993314408],41.661538300002576,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,1,1,41.802658400003565,None,['2'],1,[-0.056956000000354834],41.802658400003565,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,2,0,41.93959399999585,None,"['3', '1']",1,"[-0.07213559999945574, 0.12823640000715386]",41.93959399999585,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,2,0,42.19082069999422,None,"['2', '3']",1,"[-0.0641755000106059, 0.060164299997268245]",42.19082069999422,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,2,0,42.43958710000152,None,"['1', '2']",1,"[0.3166471000004094, 0.35799069999484345]",42.43958710000152,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
