NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,6.152371699921787,None,6.152371699921787,None,6.894484099932015,None,['2'],1,[0.7538769000675529],6.894484099932015,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1.png,10,0,1,1,1,,,,,7.769607399939559,None,"['3', '1']",0,"[0.298664000001736, 0.5613787000766024]",7.769607399939559,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
2,['3'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1firstred.png,10,0,2,2,2,,,,,8.450415699975565,None,"['2', '3']",0,"[0.31091490003746003, 0.5811836000066251]",8.450415699975565,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus0.png,10,0,3,3,3,,,,,9.137964199995622,None,['2'],1,[0.29776059999130666],9.137964199995622,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
3,['1'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus1.png,10,0,4,4,4,,,,,9.575742099899799,None,['1'],1,[0.12572519993409514],9.575742099899799,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
C,['2'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus2.png,10,0,5,5,5,,,,,9.846236599958502,None,['2'],1,[0.13470209995284677],9.846236599958502,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus3.png,10,0,6,6,6,,,,,10.116622400004417,None,"['3', '1']",0,"[0.10630169999785721, 0.407569499919191]",10.116622400004417,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus4.png,10,0,7,7,7,,,,,10.6598917999072,None,['2'],1,[0.015109100029803813],10.6598917999072,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
5,['3'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus5.png,10,0,8,8,8,,,,,10.833436899934895,None,['3'],1,[-0.0016110999276861548],10.833436899934895,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus6.png,10,0,9,9,9,,,,,10.972121999948286,None,['1'],1,[0.04663690004963428],10.972121999948286,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
6,['3'],TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus7.png,10,0,10,10,10,,,,,11.13054749998264,None,"['2', '3']",0,"[-0.022055600071325898, 0.13364869996439666]",11.13054749998264,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
F,['2'],TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus8.png,10,0,11,11,11,,,,,11.408668299904093,None,"['1', '2']",0,"[0.06162249995395541, 0.1543607999337837]",11.408668299904093,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
7,['1'],TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus9.png,1,0,12,12,12,,,,,11.686633399920538,None,"['3', '1']",0,"[0.013093300047330558, 0.1730795999756083]",11.686633399920538,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
G,['3'],TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus10.png,None,0,13,13,13,,,,,11.97152569994796,None,"['2', '3']",0,"[-0.03105999995023012, 0.07916209998074919]",11.97152569994796,None,,001,2021_Nov_03_1528,TMTAB,2021.2.3,144.62591793834648,
