NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,6.549034099996788,None,6.549034099996788,None,7.1722232999891276,None,10.222950800001854,None,1,0.6761504999885801,10.222950800001854,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.986561199999414,None,2,0.19563279999420047,10.986561199999414,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,11.264395299993339,None,3,0.04590170001029037,11.264395299993339,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,11.38975039999059,None,1,0.098925500002224,11.38975039999059,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,11.570216099993559,None,2,0.0429675000050338,11.570216099993559,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,11.694938599990564,None,3,0.02437400000053458,11.694938599990564,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,11.79243139999744,None,1,0.08325989999866579,11.79243139999744,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,11.945205399999395,None,3,0.15832469999440946,11.945205399999395,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,12.181053699998301,None,2,0.5778821999992942,12.181053699998301,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,12.847894599995925,None,3,0.5811579000001075,12.847894599995925,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
