NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,5.8804567999904975,None,5.8804567999904975,None,6.392526099996758,None,9.442932799996925,None,1,0.7186275999993086,9.442932799996925,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,10.24156719999155,None,2,0.029383400004007854,10.24156719999155,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,10.352857699996093,None,3,0.037275599999702536,10.352857699996093,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,10.470691499998793,None,1,0.025187699997331947,10.470691499998793,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,10.575171599994064,None,2,0.02032310000504367,10.575171599994064,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,10.672435399988899,None,3,0.013442799987387843,10.672435399988899,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,10.755596799994237,None,1,0.022217699995962903,10.755596799994237,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,10.852956699993229,None,3,0.11642259999644011,10.852956699993229,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,11.060997299995506,None,2,0.1011177000036696,11.060997299995506,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,11.235004299989669,None,3,1.4475112999934936,11.235004299989669,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
