NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,6.152267100000245,None,6.152267100000245,None,6.937553300000218,None,10.040153800000553,None,1,0.5707200000015291,10.040153800000553,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.690971300000456,None,2,0.025458799998887116,10.690971300000456,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,10.807648199999676,None,3,0.27004330000090704,10.807648199999676,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,11.190563000000111,None,1,0.024579000000812812,11.190563000000111,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,11.3079828000009,None,2,0.2763391999997111,11.3079828000009,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,11.69189870000082,None,3,0.30603359999986424,11.69189870000082,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,12.09150800000134,None,1,0.05081170000084967,12.09150800000134,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,12.224942200000442,None,3,0.09703749999971478,12.224942200000442,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,12.392182499999763,None,2,0.1495205999999598,12.392182499999763,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,12.625905000000785,None,3,0.017133700001068064,12.625905000000785,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,12.708572499999718,None,1,0.06607860000076471,12.708572499999718,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,12.842386600001191,None,2,0.028350599999612314,12.842386600001191,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,12.941841200001363,None,None,,12.941841200001363,None,,001,2021_Nov_16_1907,TMTAB,2021.2.3,59.82915187414095,
