NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,8.751745700006722,None,8.751745700006722,None,9.46326129999943,None,12.55216069999733,None,1,0.48465630000282545,12.55216069999733,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,13.159695499998634,None,2,0.24045689999184106,13.159695499998634,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,13.584212000001571,None,3,0.20319059999019373,13.584212000001571,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,13.903616700001294,None,1,0.010199299998930655,13.903616700001294,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,14.007619900003192,None,2,0.2776890000095591,14.007619900003192,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,14.382442999994964,None,3,0.33628950000274926,14.382442999994964,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,14.848950900006457,None,1,0.34880590000830125,14.848950900006457,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,15.333920200006105,None,3,0.08014050000929274,15.333920200006105,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,15.521197399997618,None,2,0.0978762999875471,15.521197399997618,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,15.736178799998015,None,3,0.015412199994898401,15.736178799998015,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,15.848776300001191,None,1,0.05920630000764504,15.848776300001191,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,16.001061700007995,None,2,0.4569760000013048,16.001061700007995,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,16.556884200006607,None,None,,16.556884200006607,None,,,,,,,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,17.60886930000561,None,1,4.029206699997303,17.60886930000561,None,,001,2021_Nov_17_1050,TMTAB,2021.2.3,144.60144949600894,
