NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,7.495038900000509,None,7.495038900000509,None,7.977134600005229,None,11.056913199994597,None,1,0.9193979999981821,11.056913199994597,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,12.082975700002862,None,2,0.33272380000562407,12.082975700002862,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,12.534153500004322,None,3,0.297284900007071,12.534153500004322,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,12.917403800005559,None,1,0.04333149999729358,12.917403800005559,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,13.055787799996324,None,2,0.2966240999958245,13.055787799996324,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,13.465174900004058,None,3,0.00658570000086911,13.465174900004058,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,13.562519099999918,None,1,0.04246179999609012,13.562519099999918,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,13.694318800000474,None,3,0.10914319999574218,13.694318800000474,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,13.881943800006411,None,2,0.3405553999909898,13.881943800006411,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,14.321313499996904,None,3,0.02519860000757035,14.321313499996904,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,14.430540100001963,None,1,0.49882769999385346,14.430540100001963,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,15.006786500001908,None,2,0.3585257999948226,15.006786500001908,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,15.444291499996325,None,None,,15.444291499996325,None,,,,,,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,16.4978061399961,None,None,16.4978061399961,None,,001,2021_Nov_17_1051,TMTAB,2021.2.3,145.4488332879464,
,,,,,,,,,,,,,,,,,,,,,,16.51108860000386,None,,,,,,,,,,,,,,,,,,
