NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,12.838808899992728,None,12.838808899992728,None,13.827852099988377,None,16.895197399993776,None,1,0.9937718000001041,16.895197399993776,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,17.989704899999197,None,2,0.23659369999950286,17.989704899999197,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,18.302550199994585,None,3,0.074192399988533,18.302550199994585,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,18.47756039998785,None,1,0.017581099993549287,18.47756039998785,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,18.580108699999982,None,2,0.019906799992895685,18.580108699999982,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,18.686481400000048,None,3,0.016059300003689714,18.686481400000048,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,18.788805499993032,None,1,0.03313569999590982,18.788805499993032,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,18.90691139998671,None,3,0.10390850000840146,18.90691139998671,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,19.146921999999904,None,2,0.03480390000913758,19.146921999999904,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,19.312247099995147,None,3,0.3014429999893764,19.312247099995147,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
