NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,7.001545299999634,None,7.001545299999634,None,7.948033699999542,None,2,1,0.9421713000001546,7.948033699999542,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,8.94818579999992,None,3,1,0.9829498000008243,8.94818579999992,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,9.981858799999827,None,1,1,1.4456350000000384,9.981858799999827,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,11.482529899999463,None,3,0,1.3316727999999785,11.482529899999463,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,12.866459299999406,None,1,0,1.4418966999992335,12.866459299999406,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,14.367209099999855,None,2,1,0.7782296000004862,14.367209099999855,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,15.20092139999997,None,3,0,0.41394209999998566,15.20092139999997,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,15.667726699999548,None,1,0,0.3723206000004211,15.667726699999548,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,16.101307099999758,None,2,0,0.09032089999982418,16.101307099999758,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,16.25145799999973,None,3,0,0.1345939000002545,16.25145799999973,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,16.43541169999935,None,1,1,0.13426260000051116,16.43541169999935,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,16.634925499999554,None,2,1,0.013905699999668286,16.634925499999554,None,,,,,,,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
,,,,,,,,,,,,,,,,,,,,,,,,16.669654399999672,None,3,0.12527109999973618,16.669654399999672,None,,001,2021_Oct_21_1746,TMTAB,2021.2.3,60.004560346383805,
,,,,,,,,,,,,,16.818330799999785,None,16.818330799999785,None,,,,,,,,,,,,,,,,,,,,
