NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,6.539500700000644,None,6.539500700000644,None,30.79062569999951,None,None,0,30.79062569999951,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
1,3,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,0,0,0,,,,,45.830559520000314,None,None,0,45.830559520000314,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
A,1,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,1,1,1,,,,,45.88061584000097,None,None,0,45.88061584000097,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
2,3,TMT-control2_linestimulus0.png,TMT-control2_greenlinestimulus0.png,TMT-control2_redlinestimulus0.png,,,,,0,2,2,2,,,,,45.93067216000163,None,None,0,45.93067216000163,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
B,1,TMT-control2_linestimulus1.png,TMT-control2_greenlinestimulus1.png,TMT-control2_redlinestimulus1.png,,,,,0,3,3,3,,,,,45.980728480002284,None,None,0,45.980728480002284,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
3,2,TMT-control2_linestimulus2.png,TMT-control2_greenlinestimulus2.png,TMT-control2_redlinestimulus2.png,,,,,0,4,4,4,,,,,46.03078480000295,None,None,0,46.03078480000295,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
C,3,TMT-control2_linestimulus3.png,TMT-control2_greenlinestimulus3.png,TMT-control2_redlinestimulus3.png,,,,,0,5,5,5,,,,,46.080841120003605,None,None,0,46.080841120003605,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
4,2,TMT-control2_linestimulus4.png,TMT-control2_greenlinestimulus4.png,TMT-control2_redlinestimulus4.png,,,,,0,6,6,6,,,,,46.13089744000426,None,None,0,46.13089744000426,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
D,1,TMT-control2_linestimulus5.png,TMT-control2_greenlinestimulus5.png,TMT-control2_redlinestimulus5.png,,,,,0,7,7,7,,,,,46.19763920000514,None,None,0,46.19763920000514,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
5,3,TMT-control2_linestimulus6.png,TMT-control2_greenlinestimulus6.png,TMT-control2_redlinestimulus6.png,,,,,0,8,8,8,,,,,46.2476955200058,None,None,0,46.2476955200058,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
E,2,TMT-control2_linestimulus7.png,TMT-control2_greenlinestimulus7.png,TMT-control2_redlinestimulus7.png,,,,,0,9,9,9,,,,,46.297751840006455,None,None,0,46.297751840006455,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
6,1,TMT-control2_linestimulus8.png,TMT-control2_greenlinestimulus8.png,TMT-control2_redlinestimulus8.png,,,,,0,10,10,10,,,,,46.34780816000711,None,None,0,46.34780816000711,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
F,2,TMT-control2_linestimulus9.png,TMT-control2_greenlinestimulus9.png,TMT-control2_redlinestimulus9.png,,,,,0,11,11,11,,,,,46.39786448000777,None,None,0,46.39786448000777,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
,,,,,,,,,,,,,,,,,,,,,,,46.41394379999838,None,escape,2.831728299999668,46.41394379999838,None,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.992213010821324,
