NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,0,0,0,6.846161499999653,None,6.846161499999653,None,8.524300299999595,None,1,0,1.4835600999995222,8.524300299999595,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
A,3,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,1,1,1,,,,,10.065273799999886,None,2,0,0.5785439000001134,10.065273799999886,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
2,2,TMT-B_linestimulus0.png,TMT-B_greenlinestimulus0.png,TMT-B_redlinestimulus0.png,0,2,2,2,,,,,10.731832499999655,None,3,0,0.447829400000046,10.731832499999655,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
B,3,TMT-B_linestimulus1.png,TMT-B_greenlinestimulus1.png,TMT-B_redlinestimulus1.png,0,3,3,3,,,,,11.26644209999995,None,2,0,0.40980709999985265,11.26644209999995,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
3,1,TMT-B_linestimulus2.png,TMT-B_greenlinestimulus2.png,TMT-B_redlinestimulus2.png,0,4,4,4,,,,,11.759630199999265,None,3,0,0.5516373999998905,11.759630199999265,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
C,2,TMT-B_linestimulus3.png,TMT-B_greenlinestimulus3.png,TMT-B_redlinestimulus3.png,0,5,5,5,,,,,12.392488199999207,None,3,0,0.5172449000001507,12.392488199999207,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
4,1,TMT-B_linestimulus4.png,TMT-B_greenlinestimulus4.png,TMT-B_redlinestimulus4.png,0,6,6,6,,,,,13.002956899999845,None,3,0,0.49360929999966174,13.002956899999845,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
D,2,TMT-B_linestimulus5.png,TMT-B_greenlinestimulus5.png,TMT-B_redlinestimulus5.png,0,7,7,7,,,,,13.579257299999881,None,3,0,0.4732251000004908,13.579257299999881,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
5,3,TMT-B_linestimulus6.png,TMT-B_greenlinestimulus6.png,TMT-B_redlinestimulus6.png,0,8,8,8,,,,,14.134428699999262,None,3,1,0.4202205999999933,14.134428699999262,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
E,1,TMT-B_linestimulus7.png,TMT-B_greenlinestimulus7.png,TMT-B_redlinestimulus7.png,0,9,9,9,,,,,14.641843099999278,None,3,0,0.5518882999995185,14.641843099999278,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
6,2,TMT-B_linestimulus8.png,TMT-B_greenlinestimulus8.png,TMT-B_redlinestimulus8.png,0,10,10,10,,,,,15.280257799999163,None,3,0,0.5477972999997291,15.280257799999163,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
F,3,TMT-B_linestimulus9.png,TMT-B_greenlinestimulus9.png,TMT-B_redlinestimulus9.png,0,11,11,11,,,,,15.912888699999712,None,3,1,0.917651200000364,15.912888699999712,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
None,None,None,TMT-B_greenlinestimulus10.png,TMT-B_redlinestimulus10.png,0,12,12,12,,,,,16.926061399999526,None,3,0,9.498145300000033,16.926061399999526,None,,001,2021_Oct_27_1316,TMTAB,2021.2.3,144.38535874765188,
