NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,StimTimeDuration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,10,0,0,0,0,6.577166099999886,None,6.577166099999886,None,7.418207299999267,None,2,1,0.5556071999999403,7.418207299999267,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
A,3,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,10,0,1,1,1,,,,,8.035251799999969,None,3,1,0.7264988000006269,8.035251799999969,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
2,2,TMT-B_linestimulus0.png,TMT-B_greenlinestimulus0.png,TMT-B_redlinestimulus0.png,10,0,2,2,2,,,,,8.847982199999024,None,2,1,0.40579430000070715,8.847982199999024,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
B,3,TMT-B_linestimulus1.png,TMT-B_greenlinestimulus1.png,TMT-B_redlinestimulus1.png,10,0,3,3,3,,,,,9.34085640000012,None,3,1,0.2987869000007777,9.34085640000012,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
3,1,TMT-B_linestimulus2.png,TMT-B_greenlinestimulus2.png,TMT-B_redlinestimulus2.png,10,0,4,4,4,,,,,9.743750999999975,None,2,0,0.2544732999995176,9.743750999999975,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
C,2,TMT-B_linestimulus3.png,TMT-B_greenlinestimulus3.png,TMT-B_redlinestimulus3.png,10,0,5,5,5,,,,,10.083726499999102,None,3,0,0.26903950000087207,10.083726499999102,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
4,1,TMT-B_linestimulus4.png,TMT-B_greenlinestimulus4.png,TMT-B_redlinestimulus4.png,10,0,6,6,6,,,,,10.444954799999323,None,2,0,0.5990580000016053,10.444954799999323,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
D,2,TMT-B_linestimulus5.png,TMT-B_greenlinestimulus5.png,TMT-B_redlinestimulus5.png,10,0,7,7,7,,,,,11.118829600000026,None,3,0,19.049239500000112,11.118829600000026,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
5,3,TMT-B_linestimulus6.png,TMT-B_greenlinestimulus6.png,TMT-B_redlinestimulus6.png,10,0,8,8,8,,,,,30.271122399999513,None,2,0,0.49680830000033893,30.271122399999513,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
E,1,TMT-B_linestimulus7.png,TMT-B_greenlinestimulus7.png,TMT-B_redlinestimulus7.png,10,0,9,9,9,,,,,30.847083999999086,None,2,0,0.40962559999934456,30.847083999999086,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
6,2,TMT-B_linestimulus8.png,TMT-B_greenlinestimulus8.png,TMT-B_redlinestimulus8.png,10,0,10,10,10,,,,,31.333596299999044,None,1,0,0.46462960000098974,31.333596299999044,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
F,3,TMT-B_linestimulus9.png,TMT-B_greenlinestimulus9.png,TMT-B_redlinestimulus9.png,10,0,11,11,11,,,,,31.882169099999373,None,2,0,0.5603781999998318,31.882169099999373,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
None,None,None,TMT-B_greenlinestimulus10.png,TMT-B_redlinestimulus10.png,1,0,12,12,12,,,,,32.52084189999914,None,2,0,2.8027500999996846,32.52084189999914,None,,001,2021_Oct_27_1340,TMTAB,2021.2.3,143.97542051677163,
