NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.jpg,TMT-B_1_1.jpg,TMT-B_1_1.jpg,10,,,0,0,0,0,,,,,,,,,6.570757000001322,None,6.570757000001322,None,7.4734723000001395,None,1,1,0.3484661000002234,7.4734723000001395,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
A,2,TMT-B_1_1.jpg,TMT-B_1_1firstgreen.jpg,TMT-B_1_1firstred.jpg,10,,,0,1,1,1,,,,,,,,,,,,,7.917838800000027,None,2,1,0.01318110000283923,7.917838800000027,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,0,2,2,2,,,,,,,,,,,,,8.00943130000087,None,3,0,-0.022347400001308415,8.00943130000087,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,0,3,3,3,,,,,,,,,,,,,8.092042200001742,None,None,0,,8.092042200001742,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,3,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,,7,,,,,,0,0,0,0,,,,,,,,,100.55887925000351,None,None,0,,100.55887925000351,None,97.48206260000006,None,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,1,TMT-BX_1_1.jpg,TMT-BX_1_1firstgreen.jpg,TMT-BX_1_1firstred.jpg,,G,,,,,,0,1,1,1,,,,,,,,,100.64279465000509,None,None,0,,100.64279465000509,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,,0,2,2,2,,,,,,,,,100.71971710000652,None,None,0,,100.71971710000652,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,,0,3,3,3,,,,,,,,,100.80363250000809,None,None,0,,100.80363250000809,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,,0,4,4,4,,,,,,,,,100.89454085000979,None,None,0,,100.89454085000979,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,,0,5,5,5,,,,,,,,,100.98544920001149,None,None,0,,100.98544920001149,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,,0,6,6,6,,,,,,,,,101.0763575500132,None,None,0,,101.0763575500132,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,,0,7,7,7,,,,,,,,,101.1672659000149,None,None,0,,101.1672659000149,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,,0,8,8,8,,,,,,,,,101.25118130001647,None,None,0,,101.25118130001647,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,,0,9,9,9,,,,,,,,,101.34208965001817,None,None,0,,101.34208965001817,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,,0,10,10,10,,,,,,,,,101.43999095001999,None,None,0,,101.43999095001999,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,,0,11,11,11,,,,,,,,,101.52390635002156,None,None,0,,101.52390635002156,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,,0,12,12,12,,,,,,,,,101.61481470002326,None,None,1,,101.61481470002326,None,,,,001,2021_Oct_27_1608,TMTAB,2021.2.3,143.77814457635967,
