NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6.966523299925029,None,8.265440599992871,None,3,0.776528799906373,8.265440599992871,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9.064763899892569,None,12.184573400067165,None,1,1.5058381999842823,12.184573400067165,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,13.78560689999722,None,2,0.018910399870947003,13.78560689999722,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,13.902521800016984,None,3,0.3038435000926256,13.902521800016984,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,14.302490300033242,None,1,0.05756569979712367,14.302490300033242,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,14.452693399973214,None,2,1.2291071999352425,14.452693399973214,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,15.769870100077242,None,3,0.34116580011323094,15.769870100077242,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,16.220052199903876,None,1,0.07201580004766583,16.220052199903876,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,16.386790100019425,None,3,0.07860199990682304,16.386790100019425,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,16.55350759997964,None,2,0.20858169998973608,16.55350759997964,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
