Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4375282998662442,8.03810240002349,None,,,,,,,,,,,,,,,,,,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,14.998021099949256,None,1,0.12875359994359314,14.998021099949256,None,2,0.5039543998427689,2,1,19.638906999956816,None,"['1', '2']",1,"[0.4470801001880318, 0.46823170012794435]",19.638906999956816,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,2,1,20.21283179987222,None,"['3', '1']",1,"[0.05579630006104708, 0.2156738000921905]",20.21283179987222,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,1,1,20.512253199936822,None,['2'],1,[-0.03455989994108677],20.512253199936822,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1,1,20.594969199970365,None,['3'],1,[-0.022998200030997396],20.594969199970365,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,2,1,20.67128930008039,None,"['1', '2']",1,"[0.037348799873143435, 0.082559899892658]",20.67128930008039,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,1,1,20.83087920001708,None,['3'],1,[-0.005169000010937452],20.83087920001708,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,2,1,20.90736179985106,None,"['1', '2']",1,"[0.06536399992182851, 0.12546900007873774]",20.90736179985106,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,2,1,21.136762999929488,None,"['3', '1']",1,"[-0.030748500023037195, 0.11957870004698634]",21.136762999929488,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,1,1,21.34480890003033,None,['2'],1,[-0.031631399877369404],21.34480890003033,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
