Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,21.46970249991864,None,"['1', '2']",1,"[0.5111689998302609, 0.6550000000279397]",21.46970249991864,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,,0,0,0,0,0,1,1,1,2,1,22.21145429997705,None,"['3', '1']",1,"[0.017654000082984567, 0.20129360002465546]",22.21145429997705,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,,0,0,0,0,0,2,2,2,1,1,22.504457799950615,None,['2'],1,[0.003773299977183342],22.504457799950615,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,,0,0,0,0,0,3,3,3,1,1,22.586542000062764,None,['3'],1,[0.053430499974638224],22.586542000062764,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,,0,0,0,0,0,4,4,4,2,1,22.719147299882025,None,"['1', '2']",1,"[0.07483660010620952, 0.15371700003743172]",22.719147299882025,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,,0,0,0,0,0,5,5,5,1,1,22.948484000051394,None,['3'],1,[-0.006903900066390634],22.948484000051394,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,,0,0,0,0,0,6,6,6,2,1,23.024510100018233,None,"['1', '2']",1,"[0.09630280011333525, 0.16722419997677207]",23.024510100018233,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,,0,0,0,0,0,7,7,7,2,1,23.281395100057125,None,"['3', '1']",1,"[-0.0012556998990476131, 0.1821932999882847]",23.281395100057125,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,,0,0,0,0,0,8,8,8,1,1,23.559242599876598,None,['2'],1,[-0.027899200096726418],23.559242599876598,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,,0,0,0,0,0,9,9,9,2,1,23.635368099901825,None,"['3', '1']",1,"[0.04231040016748011, 0.5295086000114679]",23.635368099901825,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,,0,0,0,0,0,10,10,10,1,1,24.25380750000477,None,['2'],1,[0.02819500002078712],24.25380750000477,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,,0,0,0,0,0,11,11,11,1,1,24.36586680007167,None,['3'],1,[0.019778599962592125],24.36586680007167,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,,0,0,0,0,0,12,12,12,2,1,24.468766700010747,None,"['1', '2']",1,"[0.1285880000796169, 0.24345369986258447]",24.468766700010747,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,,0,0,0,0,0,13,13,13,1,1,24.809480499941856,None,['3'],1,[-0.007208000170066953],24.809480499941856,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,,0,0,0,0,0,14,14,14,1,1,24.8785214999225,None,['1'],1,[0.11567969992756844],24.8785214999225,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,,0,0,0,0,0,15,15,15,2,1,25.073072799947113,None,"['2', '3']",1,"[0.00908049987629056, 0.12655649986118078]",25.073072799947113,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
