Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,1,['2'],2,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,1,1,,,,,,,,,0,0,0,0,0,0,0,0,1,1,19.48625549999997,None,['2'],1,[0.40455880016088486],19.48625549999997,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,2,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,1,2,,,,,,,,,0,0,0,0,0,1,1,1,1,1,19.964788199868053,None,['1'],1,[-0.0550844999961555],19.964788199868053,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,3,['2'],2,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,1,3,,,,,,,,,0,0,0,0,0,2,2,2,3,1,20.048068299889565,None,"['3', '1', '2']",1,"[-0.0014783998485654593, 0.15130869997665286, 0.2463237999472767]",20.048068299889565,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,1,4,,,,,,,,,0,0,0,0,0,3,3,3,1,1,20.403106299927458,None,['3'],1,[-0.054081999929621816],20.403106299927458,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,5,['2'],2,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,1,5,,,,,,,,,0,0,0,0,0,4,4,4,2,1,20.478877199813724,None,"['1', '2']",1,"[0.017819699831306934, 0.07197759998962283]",20.478877199813724,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,1,6,,,,,,,,,0,0,0,0,0,5,5,5,1,1,20.65911370003596,None,['3'],1,[-0.008029900025576353],20.65911370003596,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,7,['2'],2,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,1,7,,,,,,,,,0,0,0,0,0,6,6,6,2,1,20.735392099944875,None,"['1', '2']",1,"[0.04518790007568896, 0.11297330004163086]",20.735392099944875,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,8,['1'],1,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,1,8,,,,,,,,,0,0,0,0,0,7,7,7,2,1,20.943770099896938,None,"['3', '1']",1,"[0.009558900026604533, 0.14955920004285872]",20.943770099896938,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,9,['2'],2,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,1,9,,,,,,,,,0,0,0,0,0,8,8,8,1,1,21.200987600022927,None,['2'],1,[-0.03855860000476241],21.200987600022927,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
TMTstop-A_1_1.xlsx,0:26,10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,1,10,,,,,,,,,0,0,0,0,0,9,9,9,2,1,21.27823599986732,None,"['3', '1']",1,"[-0.03450159984640777, 0.10125160007737577]",21.27823599986732,None,,001,2022_Feb_02_1459,TMTAstop-A,2021.2.3,150.14924830064368,
