Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,1,17.099373600212857,None,['2'],1,[1.1286718999035656],17.099373600212857,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,2,0,18.321907100034878,None,"['3', '1']",1,"[0.2545035001821816, 0.5045533000957221]",18.321907100034878,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,1,1,18.912037700181827,None,['2'],1,[-0.01058429991826415],18.912037700181827,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,1,1,18.988302800105885,None,['3'],1,[0.009169999975711107],18.988302800105885,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,2,0,19.071830900153145,None,"['1', '2']",1,"[0.11873469990678132, 0.16424690000712872]",19.071830900153145,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,2,0,19.314888100139797,None,"['3', '1']",1,"[0.02789580007083714, 0.1954539001453668]",19.314888100139797,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,2,0,19.620314300060272,None,"['2', '3']",1,"[-0.06336300005204976, 0.07481939997524023]",19.620314300060272,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,2,0,19.773694700095803,None,"['1', '2']",1,"[0.07243579998612404, 0.11654630000703037]",19.773694700095803,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,1,1,19.960628800094128,None,['3'],1,[0.07135109999217093],19.960628800094128,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,1,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,2,0,20.11357150017284,None,"['1', '2']",1,"[0.06773679982870817, 0.09882359998300672]",20.11357150017284,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
