NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,1.0,43.72440719604492,43.72440719604492,0.0,,1.0,1.0,0.0,2,1.4752138999756426,43.72440719604492,43.72440719604492,0.0,,0.0
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,1.0,45.29893112182617,45.29893112182617,0.0,,1.0,1.0,0.0,1,0.35506999981589615,45.29893112182617,45.29893112182617,0.0,,1.0
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,1.0,45.73579788208008,45.73579788208008,0.0,,1.0,1.0,0.0,2,0.42312019993551075,45.73579788208008,45.73579788208008,0.0,,2.0
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,1.0,46.2434196472168,46.2434196472168,0.0,,1.0,1.0,0.0,3,1.9166168000083417,46.2434196472168,46.2434196472168,0.0,,3.0
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,1.0,48.24320983886719,48.24320983886719,0.0,,1.0,1.0,0.0,3,1,2,1.3932773999404162,2.7490672001149505,3.9396707001142204,48.24320983886719,48.24320983886719,0.0,,4.0
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,1.0,52.299232482910156,52.299232482910156,0.0,,1.0,1.0,0.0,3,1.2216864998918027,52.299232482910156,52.299232482910156,0.0,,5.0
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,1.0,53.61753463745117,53.61753463745117,0.0,,1.0,1.0,0.0,2,1.428028300171718,53.61753463745117,53.61753463745117,0.0,,6.0
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,1.0,55.13864517211914,55.13864517211914,0.0,,1.0,1.0,0.0,1,1.1817385000176728,55.13864517211914,55.13864517211914,0.0,,7.0
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,1.0,56.403499603271484,56.403499603271484,0.0,,1.0,1.0,0.0,2,0.4443410001695156,56.403499603271484,56.403499603271484,0.0,,8.0
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,1.0,56.9229736328125,56.9229736328125,0.0,,1.0,1.0,0.0,3,1,0.32745469990186393,0.6330438998993486,56.9229736328125,56.9229736328125,0.0,,9.0
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,1.0,57.67285919189453,57.67285919189453,0.0,,1.0,1.0,0.0,2,0.08851990010589361,57.67285919189453,57.67285919189453,0.0,,10.0
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,1.0,57.84724807739258,57.84724807739258,0.0,,1.0,1.0,0.0,3,0.03349020006135106,57.84724807739258,57.84724807739258,0.0,,11.0
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,1.0,57.97178268432617,57.97178268432617,0.0,,1.0,1.0,0.0,1,2,0.3600244999397546,0.418925300007686,57.97178268432617,57.97178268432617,0.0,,12.0
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,1.0,58.49253463745117,58.49253463745117,0.0,,1.0,1.0,0.0,3,0.09879259997978806,58.49253463745117,58.49253463745117,0.0,,13.0
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,1.0,58.68080139160156,58.68080139160156,0.0,,1.0,1.0,0.0,1,0.3704536999575794,58.68080139160156,58.68080139160156,0.0,,14.0
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,1.0,59.13153839111328,59.13153839111328,0.0,,1.0,1.0,0.0,2,3,0.2818220001645386,0.47833830001764,59.13153839111328,59.13153839111328,0.0,,15.0
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,1.0,59.70207214355469,59.70207214355469,0.0,,1.0,1.0,0.0,1,2,0.14101779996417463,0.24202920007519424,59.70207214355469,59.70207214355469,0.0,,16.0
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,1.0,60.0498161315918,60.0498161315918,0.0,,1.0,1.0,0.0,3,-0.005339800147339702,60.0498161315918,60.0498161315918,0.0,,17.0
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,1.0,60.160274505615234,60.160274505615234,0.0,,1.0,1.0,0.0,1,0.06174229993484914,60.160274505615234,60.160274505615234,0.0,,18.0
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,1.0,60.327903747558594,60.327903747558594,0.0,,1.0,1.0,0.0,2,3,-0.012036900036036968,0.14809140004217625,60.327903747558594,60.327903747558594,0.0,,19.0
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,1.0,60.597923278808594,60.597923278808594,0.0,,1.0,1.0,0.0,1,0.18840350001119077,60.597923278808594,60.597923278808594,0.0,,20.0
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,1.0,60.881446838378906,60.881446838378906,0.0,,1.0,1.0,0.0,3,0.09296210017055273,60.881446838378906,60.881446838378906,0.0,,21.0
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,1.0,61.06919860839844,61.06919860839844,0.0,,1.0,1.0,0.0,1,0.4210218999069184,61.06919860839844,61.06919860839844,0.0,,22.0
