NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.515306199900806,None,7.015098699834198,None,2,0.05246980022639036,7.015098699834198,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,7.085961799835786,None,10.134277499979362,None,1,0.36743069998919964,10.134277499979362,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,10.599676099838689,None,2,0.05185940000228584,10.599676099838689,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,10.724957400001585,None,3,0.3308399999514222,10.724957400001585,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,11.15022029983811,None,1,0.04593720007687807,11.15022029983811,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,11.27391539979726,None,2,0.2894096001982689,11.27391539979726,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,11.64918589987792,None,3,0.34938609995879233,11.64918589987792,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,12.107198199955747,None,1,0.04968349984847009,12.107198199955747,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,12.224998999852687,None,3,0.1405633999966085,12.224998999852687,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,12.442091399803758,None,2,0.12030810001306236,12.442091399803758,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,12.662459099898115,None,3,0.020716199884191155,12.662459099898115,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,12.76145839993842,None,1,0.048430200200527906,12.76145839993842,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,12.884744399925694,None,2,0.015872699907049537,12.884744399925694,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,12.981888599926606,None,3,0.02888539992272854,12.981888599926606,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14.083754999795929,None,x,1.7596781000029296,14.083754999795929,None,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,15.898168499814346,None,1,1.2842498000245541,15.898168499814346,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,17.253599099814892,None,2,0.17783170007169247,17.253599099814892,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,17.51640629977919,None,3,0.566343299811706,17.51640629977919,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,18.162594199879095,None,1,0.10778390010818839,18.162594199879095,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,18.343088899971917,None,2,0.00633669993840158,18.343088899971917,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,18.426152399973944,None,3,0.023841700050979853,18.426152399973944,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,18.530601699836552,None,1,0.0679880001116544,18.530601699836552,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,18.670064899837598,None,3,0.10854779998771846,18.670064899837598,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,18.849984799977392,None,2,1.1349003999494016,18.849984799977392,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,20.072084999876097,None,3,0.10939290001988411,20.072084999876097,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,20.252809999976307,None,1,0.33164280001074076,20.252809999976307,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,20.65531719988212,None,2,0.1474744000006467,20.65531719988212,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,20.877629599999636,None,3,0.06341749988496304,20.877629599999636,None,,,,,,,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,21.97286369977519,None,2,1.8269126999657601,21.97286369977519,None,,,,,,,,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,23.895674199797213,None,,,,,,,,,,,,,26.85635679983534,None,"['1', '2']",1,"[0.377672899980098, 0.5144813999067992]",26.85635679983534,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,27.48903159983456,None,"['3', '1']",1,"[-0.031695100013166666, 0.14814390009269118]",27.48903159983456,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,27.72488179989159,None,['2'],1,[-0.03758700005710125],27.72488179989159,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,27.808072099927813,None,['3'],1,[-0.024742400040850043],27.808072099927813,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,27.885040199849755,None,"['1', '2']",1,"[0.05927910003811121, 0.1044435000512749]",27.885040199849755,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,28.065735999960452,None,['3'],1,[0.07840819982811809],28.065735999960452,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,28.22530149994418,None,"['1', '2']",1,"[0.06675950018689036, 0.13286280003376305]",28.22530149994418,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,28.461003799922764,None,"['3', '1']",1,"[0.014042899943888187, 0.1496144998818636]",28.461003799922764,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,28.711066799936816,None,['2'],1,[-0.046563199954107404],28.711066799936816,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,28.787117299856618,None,"['3', '1']",1,"[-0.02138260006904602, 0.1267199998255819]",28.787117299856618,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,29.05952679994516,None,['2'],1,[-0.08919790014624596],29.05952679994516,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,29.134655399946496,None,['3'],1,[-0.06274209986440837],29.134655399946496,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,29.210710499901325,None,"['1', '2']",1,"[0.013407600112259388, 0.10789950005710125]",29.210710499901325,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,29.419458699878305,None,['3'],1,[-0.031643500085920095],29.419458699878305,None,,001,2022_Jan_12_1638,TMTAstop-A,2021.2.3,144.1077926712815,
