NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,6.45816809986718,None,6.94503299985081,None,2,0.4055643999017775,6.94503299985081,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,7.369194799801335,None,10.417797799920663,None,1,0.34843330015428364,10.417797799920663,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,10.848631999921054,None,2,0.018338900059461594,10.848631999921054,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,10.946520199999213,None,3,0.021921199979260564,10.946520199999213,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,11.043470799922943,None,1,0.05373719986528158,11.043470799922943,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,11.168944499921054,None,2,0.25501870014704764,11.168944499921054,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,11.523351599927992,None,3,0.282104599988088,11.523351599927992,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,11.911521699978039,None,1,0.02937610005028546,11.911521699978039,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,12.022474800003693,None,3,0.06624229997396469,12.022474800003693,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,12.161459299968556,None,2,0.1319392998702824,12.161459299968556,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,12.390617899829522,None,3,0.29744959995150566,12.390617899829522,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,12.793228899827227,None,1,0.009349200176075101,12.793228899827227,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,12.876599699957296,None,2,0.030798600055277348,12.876599699957296,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,12.988513699965551,None,1,0.42142340005375445,12.988513699965551,None,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.096837199991569,None,2,0.6147233999799937,14.096837199991569,None,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,0:26,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,14.776540099876001,None,,,,,,,,,,,,,17.779012499842793,None,['2'],1,[0.8194709999952465],17.779012499842793,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,0:26,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,18.674935299903154,None,"['2', '3', '1']",1,"[0.33644210011698306, 0.7102340999990702, 1.1105742000509053]",18.674935299903154,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,0:26,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,19.855483199935406,None,['2'],1,[0.6126470998860896],19.855483199935406,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,0:26,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,20.5360785999801,None,['3'],1,[0.37699380004778504],20.5360785999801,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
