NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1800925000570714,None,8.562516500009224,None,2,0.38016089994926006,8.562516500009224,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,8.976721500046551,None,12.081306600011885,None,1,1.0639047999866307,12.081306600011885,None,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,13.249029800063,None,2,0.3403097999980673,13.249029800063,None,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,13.699282700079493,None,3,0.32494730001781136,13.699282700079493,None,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,14.149380600079894,None,1,0.0049866000190377235,14.149380600079894,None,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,14.249498200020753,None,2,0.2430737999966368,14.249498200020753,None,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,14.599496599985287,None,3,0.246759400004521,14.599496599985287,None,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,14.949829500052147,None,1,0.02462859998922795,14.949829500052147,None,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,15.066536900005303,None,3,0.06486669997684658,15.066536900005303,None,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,15.216720400028862,None,2,0.08835400000680238,15.216720400028862,None,,,,,,,,,,,,,,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
