NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim_practice.started_mean,Stim_practice.started_raw,Stim_practice.started_std,Stim_practice.stopped_raw,key_resp_practice.keys_raw,key_resp_practice.rt_mean,key_resp_practice.rt_raw,key_resp_practice.rt_std,key_resp_practice.started_mean,key_resp_practice.started_raw,key_resp_practice.started_std,key_resp_practice.stopped_raw,order
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1.0,11.741272926330566,11.741272926330566,0.0,,'1',1.0308723449707031,1.0308723449707031,0.0,11.741272926330566,11.741272926330566,0.0,,0.0
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1.0,12.892499923706055,12.892499923706055,0.0,,'2',0.0028698998503386974,0.0028698998503386974,0.0,12.892499923706055,12.892499923706055,0.0,,1.0
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1.0,12.992620468139648,12.992620468139648,0.0,,'3',0.006740699987858534,0.006740699987858534,0.0,12.992620468139648,12.992620468139648,0.0,,2.0
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1.0,13.092453002929688,13.092453002929688,0.0,,'1',0.05943800136446953,0.05943800136446953,0.0,13.092453002929688,13.092453002929688,0.0,,3.0
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1.0,13.24251937866211,13.24251937866211,0.0,,'2',0.29146069288253784,0.29146069288253784,0.0,13.24251937866211,13.24251937866211,0.0,,4.0
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1.0,13.642904281616211,13.642904281616211,0.0,,'3',0.311757892370224,0.311757892370224,0.0,13.642904281616211,13.642904281616211,0.0,,5.0
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1.0,14.059577941894531,14.059577941894531,0.0,,'1',0.046595800668001175,0.046595800668001175,0.0,14.059577941894531,14.059577941894531,0.0,,6.0
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1.0,14.19303035736084,14.19303035736084,0.0,,'3',0.085418701171875,0.085418701171875,0.0,14.19303035736084,14.19303035736084,0.0,,7.0
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1.0,14.376489639282227,14.376489639282227,0.0,,'2',0.11072149872779846,0.11072149872779846,0.0,14.376489639282227,14.376489639282227,0.0,,8.0
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1.0,14.609997749328613,14.609997749328613,0.0,,'3',0.27946919202804565,0.27946919202804565,0.0,14.609997749328613,14.609997749328613,0.0,,9.0
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1.0,15.01034164428711,15.01034164428711,0.0,,'1',0.00625390000641346,0.00625390000641346,0.0,15.01034164428711,15.01034164428711,0.0,,10.0
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1.0,15.11233139038086,15.11233139038086,0.0,,'2',0.26349571347236633,0.26349571347236633,0.0,15.11233139038086,15.11233139038086,0.0,,11.0
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1.0,15.477089881896973,15.477089881896973,0.0,,'3',0.6502044200897217,0.6502044200897217,0.0,15.477089881896973,15.477089881896973,0.0,,12.0

extraInfo
participant,
session,001
date,2022_Jan_24_1136
expName,TMTAstop-A
psychopyVersion,2021.2.3
frameRate,59.92706873222702
