NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0.41242700000293553,8.157730899984017,None,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11.69277389999479,None,1,1.2201151000335813,11.69277389999479,None,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,13.010544799966738,None,2,0.36427549994550645,13.010544799966738,None,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,13.4938876000233,None,3,0.041476799990050495,13.4938876000233,None,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,13.627620200044475,None,1,0.15881850000005215,13.627620200044475,None,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,13.877446400001645,None,2,0.2713523000711575,13.877446400001645,None,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,14.26113440003246,None,3,0.3176410000305623,14.26113440003246,None,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,14.678173499996774,None,1,0.02995629992801696,14.678173499996774,None,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,14.794631600030698,None,3,0.06759890005923808,14.794631600030698,None,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,14.944562599994242,None,2,0.12026140000671148,14.944562599994242,None,,,,,,,,,,,,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
