NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,3,0.43080440000630915,8.786437100032344,None,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,12.337881800020114,None,1,0.9036092000314966,12.337881800020114,None,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,13.3552394999424,None,2,0.006512199994176626,13.3552394999424,None,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,13.455942900036462,None,3,0.3208483000053093,13.455942900036462,None,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,13.889755600015633,None,1,0.006736899958923459,13.889755600015633,None,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,13.989434299990535,None,2,0.28183370002079755,13.989434299990535,None,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,14.356210900004953,None,3,0.009232199983671308,14.356210900004953,None,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,14.456090199993923,None,1,0.03049320005811751,14.456090199993923,None,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,14.573017799993977,None,3,0.08753410005010664,14.573017799993977,None,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,14.756448499974795,None,2,0.11926159996073693,14.756448499974795,None,,,,,,,,,,,,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
