Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,2,0,10.468032100005075,None,"['1', '2']",1,"[0.33638909994624555, 0.44880220014601946]",10.468032100005075,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,2,0,11.002196099841967,None,"['3', '1']",1,"[-0.025774799985811114, 0.15024590003304183]",11.002196099841967,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,1,1,11.237787199905142,None,['2'],1,[-0.035011200001463294],11.237787199905142,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,1,1,11.307590099982917,None,['3'],1,[-0.016400699969381094],11.307590099982917,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,2,0,11.383921700064093,None,"['1', '2']",1,"[0.07318929978646338, 0.09172779996879399]",11.383921700064093,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,2,0,11.571852599969134,None,"['3', '1']",1,"[0.0034103000070899725, 0.16962160007096827]",11.571852599969134,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,2,0,11.828299100045115,None,"['2', '3']",1,"[-0.046778300078585744, 0.049653299851343036]",11.828299100045115,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,2,0,11.980823499849066,None,"['1', '2']",1,"[0.056488700211048126, 0.08109840005636215]",11.980823499849066,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,1,1,12.156017999863252,None,['3'],1,[0.015385099919512868],12.156017999863252,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,5,0,12.251671999925748,None,"['1', '2', '3', '1', '2']",1,"[0.061146199936047196, 0.20948940003290772, 0.2158272999804467, 0.3521527999546379, 0.3799926999490708]",12.251671999925748,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,11,['3'],3,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,1,1,12.716945699881762,None,['3'],1,[0.03583840001374483],12.716945699881762,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,12,['1'],1,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,0,0,0,0,11,11,11,1,1,12.828243899857625,None,['1'],1,[0.07690700003877282],12.828243899857625,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,2,0,12.987622699933127,None,"['2', '3']",1,"[0.036483699921518564, 0.07011570013128221]",12.987622699933127,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,14,['1'],1,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,1,1,13.140638999873772,None,['1'],1,[0.06340810004621744],13.140638999873772,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,1,1,13.279331600060686,None,['3'],1,[0.09015830000862479],13.279331600060686,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,16,['1'],1,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,0,0,0,0,0,15,15,15,1,1,13.446672599995509,None,['1'],1,[0.05521659995429218],13.446672599995509,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,17,['2'],2,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,0,0,0,0,0,16,16,16,1,1,13.585279299877584,None,['2'],1,[-0.015913800103589892],13.585279299877584,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,18,['1'],1,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,0,0,0,0,0,17,17,17,2,0,13.662121099885553,None,"['3', '1']",1,"[0.017398699885234237, 0.18474079994484782]",13.662121099885553,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
TMTstop-Control_1_1.xlsx,0:26,19,['3'],3,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,0,0,0,0,0,18,18,18,2,0,13.932162699988112,None,"['2', '3']",1,"[-0.048716999823227525, 0.04169810004532337]",13.932162699988112,None,,001,2022_Feb_02_1744,TMT_fmri,2021.2.3,144.00444707894678,
