Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,2,0,10.338056599997799,None,"['1', '2']",1,"[0.7564323999977205, 1.0890872000018135]",10.338056599997799,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,3,0,11.504767399994307,None,"['3', '2', '1']",1,"[0.2409073000017088, 0.25911730001098476, 0.46937820001039654]",11.504767399994307,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,1,1,12.074260099994717,None,['2'],1,[0.07030430001032073],12.074260099994717,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,1,1,12.227190299992799,None,['3'],1,[0.02107339999929536],12.227190299992799,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,3,0,12.324215600005118,None,"['1', '3', '2']",1,"[-0.03976659999170806, 0.09931460001098458, 0.13516279999748804]",12.324215600005118,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,1,1,12.56032679999771,None,['1'],1,[0.04462309999507852],12.56032679999771,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,1,1,12.685344299999997,None,['3'],1,[0.059175199989113025],12.685344299999997,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,1,1,12.824219200003427,None,['2'],1,[-0.04971490000025369],12.824219200003427,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,3,0,12.893466399997124,None,"['1', '1', '3']",1,"[0.019578999999794178, 1.9004921000014292, 2.0198838999931468]",12.893466399997124,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,,,1,1,14.984144699992612,None,['2'],1,[-0.05033430000185035],14.984144699992612,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,11,['3'],3,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,,,,,,,,,5,0,15.053342300001532,None,"['1', '3', '2', '1', '3']",1,"[0.03444030000537168, 0.12663900000916328, 0.1501398000109475, 0.26326150000386406, 0.37338350000209175]",15.053342300001532,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,12,['1'],1,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,0,0,0,0,11,11,11,,,,,,,,,2,0,15.498127400001977,None,"['2', '1']",1,"[-0.056120300010661595, 0.06119919999036938]",15.498127400001977,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,,,1,1,15.650614800004405,None,['3'],1,[0.03193660000397358],15.650614800004405,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,14,['1'],1,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,,,2,0,15.79618869999831,None,"['2', '1']",1,"[-0.09966750000603497, 0.00443960000120569]",15.79618869999831,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,,,,,,,,,1,1,15.90737889999582,None,['3'],1,[0.02781179999874439],15.90737889999582,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,16,['1'],1,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,0,0,0,0,0,15,15,15,,,,,,,,,2,0,16.004790699997102,None,"['2', '1']",1,"[-0.0484230000001844, 0.07003490001079626]",16.004790699997102,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,17,['2'],2,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,0,0,0,0,0,16,16,16,,,,,,,,,2,0,16.157474999999977,None,"['3', '2']",1,"[0.03720579999207985, 0.05489369999850169]",16.157474999999977,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-Control_1_1.xlsx,0:26,18,['1'],1,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,0,0,0,0,0,17,17,17,,,,,,,,,1,1,16.316887099994346,None,['1'],1,[0.009294600007706322],16.316887099994346,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
