NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,1,1,9.936904100002721,None,['2'],1,[0.6528254000004381],9.936904100002721,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,1,1,1,2,0,10.666406400006963,None,"['3', '1']",1,"[0.2635366000031354, 0.49565240000083577]",10.666406400006963,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,2,2,2,1,1,11.291360700008227,None,['2'],1,[0.17749750000075437],11.291360700008227,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,3,3,3,1,1,11.541398500005016,None,['3'],1,[0.17125390000001062],11.541398500005016,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,4,4,4,2,0,11.791370999999344,None,"['1', '2']",1,"[0.21268690000579227, 0.35902510001324117]",11.791370999999344,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,5,5,5,2,0,12.250082400001702,None,"['3', '1']",1,"[0.06449179998890031, 0.26330679999955464]",12.250082400001702,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,6,6,6,2,0,12.596922299999278,None,"['2', '3']",1,"[-0.020218799996655434, 0.11412650000420399]",12.596922299999278,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,7,7,7,2,0,12.791357900001458,None,"['1', '2']",1,"[0.10033050000492949, 0.16612310000346042]",12.791357900001458,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,8,8,8,1,1,13.055214000007254,None,['3'],1,[0.020453499993891455],13.055214000007254,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,9,9,9,2,0,13.152615900005912,None,"['1', '2']",1,"[0.1065219000010984, 0.15265749998798128]",13.152615900005912,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
11,['3'],3,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,10,10,10,1,1,13.374816099996679,None,['3'],1,[0.06242200000269804],13.374816099996679,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
12,['1'],1,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,11,11,11,1,1,13.513719599999604,None,['1'],1,[0.08904479999910109],13.513719599999604,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,12,12,12,2,0,13.673495600000024,None,"['2', '3']",1,"[-0.018294800000148825, 0.11597220000112429]",13.673495600000024,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
14,['1'],1,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,13,13,13,1,1,13.867968100006692,None,['1'],1,[0.062237899997853674],13.867968100006692,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,14,14,14,2,0,14.00686210001004,None,"['2', '3']",1,"[-0.013467999990098178, 0.1486367000034079]",14.00686210001004,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
16,['1'],1,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,0,15,15,15,1,1,14.24290050000127,None,['1'],1,[0.040970200003357604],14.24290050000127,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
17,['2'],2,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,0,16,16,16,1,1,14.353932400001213,None,['2'],1,[0.047978900009184144],14.353932400001213,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
18,['1'],1,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,0,17,17,17,2,0,14.479575100005604,None,"['3', '1']",1,"[0.03332529999897815, 0.16510899999411777]",14.479575100005604,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
19,['3'],3,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,0,18,18,18,2,0,14.749655699997675,None,"['2', '3']",1,"[-0.028712700004689395, 0.1049090000014985]",14.749655699997675,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
20,['1'],1,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,0,19,19,19,1,1,14.944298700007494,None,['1'],1,[0.4668004999984987],14.944298700007494,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
21,['3'],3,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,0,20,20,20,3,0,15.485768099999405,None,"['1', '2', '3']",1,"[0.522102700007963, 0.6946356999978889, 0.7420146000076784]",15.485768099999405,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
22,['1'],1,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,0,21,21,21,1,1,16.305408100000932,None,['1'],1,[0.08574169999337755],16.305408100000932,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,0,22,22,22,2,0,16.46489620000648,None,"['2', '3']",1,"[0.016199399993638508, 0.10924579999118578]",16.46489620000648,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
24,['1'],1,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,0,23,23,23,1,1,16.65911170000618,None,['1'],1,[0.06181010000000242],16.65911170000618,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
25,['3'],3,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,0,24,24,24,2,0,16.79799200000707,None,"['2', '3']",1,"[0.014412099990295246, 0.1209826999984216]",16.79799200000707,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,0,25,25,25,2,0,17.013341099998797,None,"['1', '2']",0,"[0.02899200000683777, 0.10883800000010524]",17.013341099998797,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
1,['1'],1,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,26,26,26,3,0,18.103532100009033,None,"['2', '3', '1']",1,"[0.5887027999997372, 0.7446359999885317, 0.8324820999987423]",18.103532100009033,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,0,27,27,27,2,0,19.02730820000579,None,"['2', '3']",1,"[0.017564899986609817, 0.17836809999425896]",19.02730820000579,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,0,28,28,28,2,0,19.291227399997297,None,"['1', '2']",1,"[0.035209699999541044, 0.12092880001000594]",19.291227399997297,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,0,29,29,29,1,1,19.52018580000731,None,['3'],1,[0.037697199993999675],19.52018580000731,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
5,['1'],1,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,0,30,30,30,1,1,19.631582900008652,None,['1'],1,[0.08617510000476614],19.631582900008652,None,,001,2022_Mar_30_1030,TMT_fmri,2021.2.3,144.0994862946932,
