NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Block_file,Condition_rows,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Correct,Version,Block,TrialNumber_session,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,0,0,0,0,,,,,,,,,,,,,,,1,1,9.724604400005774,None,['2'],1,[0.6210962000041036],9.724604400005774,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,0,1,1,1,,,,,,,,,,,,,,,2,0,10.426459800000885,None,"['3', '1']",1,"[0.29023280000546947, 0.4844405000039842]",10.426459800000885,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,,,,,,,1,1,10.99621080000361,None,['2'],1,[-0.05684209999162704],10.99621080000361,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
4,['3'],TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,,,,,,,1,1,11.072137000010116,None,['3'],1,[0.022604400001000613],11.072137000010116,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
5,['2'],TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,,,,,,,1,1,11.169438500000979,None,['2'],1,[0.43142530000477564],11.169438500000979,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
6,['1'],TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,,,,,,,1,1,11.676260899999761,None,['1'],1,[-0.005532200011657551],11.676260899999761,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
7,['3'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,,,,,,,1,1,11.74575570000161,None,['3'],1,[0.05704729999706615],11.74575570000161,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
8,['2'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,,,,,,,2,0,11.8778381000011,None,"['1', '2']",1,"[0.08190679999825079, 0.13950989999284502]",11.8778381000011,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
9,['3'],TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,,,,,,,1,1,12.107136300008278,None,['3'],1,[0.040584900008980185],12.107136300008278,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
10,['2'],TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,,,,,,,2,0,12.22486580000259,None,"['1', '2']",1,"[0.08674500000779517, 0.12749890000850428]",12.22486580000259,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
11,['3'],TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,,,,,,,1,1,12.440241200005403,None,['3'],1,[0.03275959999882616],12.440241200005403,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
12,['1'],TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,,,,,,,1,1,12.551991200001794,None,['1'],1,[0.14964210000471212],12.551991200001794,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
13,['3'],TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,,,,,,,2,0,12.780494500009809,None,"['2', '3']",1,"[-0.03865820000646636, 0.11435049999272451]",12.780494500009809,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
14,['1'],TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,None,0,13,13,13,,,,,,,,,,,,,,,1,1,12.974892400001409,None,['1'],1,[0.07398299999476876],12.974892400001409,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
