NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,0,0,0,0,1,1,9.802292000007583,None,['2'],1,[0.8690870999998879],9.802292000007583,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,0,1,1,1,1,1,10.746994000000996,None,['1'],1,[0.08982069999910891],10.746994000000996,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,0,2,2,2,5,0,10.914603199998965,None,"['3', '1', '3', '1', '2']",1,"[-0.03229859999555629, 0.17000040000129957, 0.4161394999973709, 0.5532061999983853, 0.6013176999986172]",10.914603199998965,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
4,['3'],TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,10,0,3,3,3,1,1,11.608014700002968,None,['3'],1,[0.03035719999752473],11.608014700002968,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
5,['2'],TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,10,0,4,4,4,2,0,11.719174800004112,None,"['1', '2']",1,"[0.06047729999409057, 0.11538370000198483]",11.719174800004112,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
6,['1'],TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,10,0,5,5,5,2,0,11.94798310000624,None,"['3', '1']",1,"[-0.012189300003228709, 0.16256749999593012]",11.94798310000624,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
7,['3'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,10,0,6,6,6,2,0,12.184374500007834,None,"['2', '3']",1,"[-0.03678899999067653, 0.10463270000764169]",12.184374500007834,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
8,['2'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,10,0,7,7,7,2,0,12.378876600007061,None,"['1', '2']",1,"[0.0817867000005208, 0.13074230001075193]",12.378876600007061,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
9,['3'],TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,10,0,8,8,8,1,1,12.580576799999108,None,['3'],1,[0.10341670000343584],12.580576799999108,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
10,['2'],TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,10,0,9,9,9,2,0,12.760700800004997,None,"['1', '2']",1,"[0.10580370000388939, 0.15755190000345465]",12.760700800004997,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
11,['3'],TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,10,0,10,10,10,3,0,13.024659200003953,None,"['1', '2', '3']",1,"[0.515898700003163, 0.542702000006102, 0.7398882999987109]",13.024659200003953,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
12,['1'],TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,10,0,11,11,11,1,1,13.865263200001209,None,['1'],1,[0.30049399999552406],13.865263200001209,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
13,['3'],TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,0,12,12,12,2,0,14.239999800003716,None,"['2', '3']",1,"[0.021268800002872013, 0.11952569999266416]",14.239999800003716,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
14,['1'],TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,None,0,13,13,13,1,1,14.45529529999476,None,['1'],1,[0.07302389999676961],14.45529529999476,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
15,['3'],TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,None,0,14,14,14,2,0,14.60784440000134,None,"['2', '3']",1,"[-0.04177419999905396, 0.1312997000059113]",14.60784440000134,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
16,['1'],TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,None,0,15,15,15,1,1,14.830426400003489,None,['1'],1,[0.07502730000123847],14.830426400003489,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
17,['2'],TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,None,0,16,16,16,1,1,14.982822799996939,None,['2'],1,[-0.011514099998748861],14.982822799996939,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,0,17,17,17,2,0,15.052393899997696,None,"['3', '1']",1,"[0.12654939999629278, 0.33076869999058545]",15.052393899997696,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,0,18,18,18,2,0,15.476289900005213,None,"['2', '3']",1,"[-0.06474900001194328, 0.15654099998937454]",15.476289900005213,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,0,19,19,19,1,1,15.71213980000175,None,['1'],1,[0.04799520000233315],15.71213980000175,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,0,20,20,20,2,0,15.837448799997219,None,"['2', '3']",1,"[-0.026596199997584336, 0.1253454999969108]",15.837448799997219,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
22,['1'],TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,None,0,21,21,21,1,1,16.06639290000021,None,['1'],1,[0.027696000004652888],16.06639290000021,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
23,['3'],TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,None,0,22,22,22,2,0,16.163406699997722,None,"['2', '3']",1,"[-0.026464099995791912, 0.11133640000480227]",16.163406699997722,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
24,['1'],TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,None,0,23,23,23,1,1,16.364840299997013,None,['1'],1,[0.04151760000968352],16.364840299997013,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
25,['3'],TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,None,0,24,24,24,2,0,16.48300829999789,None,"['2', '3']",1,"[-0.027789300002041273, 0.08979820000240579]",16.48300829999789,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,None,0,25,25,25,3,0,16.684362100000726,None,"['1', '2', '3']",0,"[0.0379594999976689, 0.09805630000482779, 0.21678240000619553]",16.684362100000726,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.01937925104704,
